id,cycles_old,cycles_new,overhead_old,overhead_new,ratio
"all",,,,,
"all;ksoftirqd/26",,,,,
"all;ksoftirqd/26;[kernel.vmlinux]",,,,,
"all;fgrep;libc.so.6;__wcsnlen_ifunc",0,1607395,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;__gconv_transform_utf8_internal",16208472,13075044,0.0000,0.0000,0.807
"all;fgrep;libc.so.6;__memset_avx2_unaligned",0,3358631,0.0000,0.0000,0.000
"all;fgrep;libc.so.6;_dl_mcount_wrapper_check",6483103,0,0.0000,0.0000,0.000
"all;fgrep;[vdso]",,,,,
"all;fgrep;[vdso];__vdso_gettimeofday",0,6533008,0.0000,0.0000,0.000
"all;fgrep;bash",,,,,
"all;fgrep;bash;bind_variable_internal",0,6968655,0.0000,0.0000,0.000
"all;fgrep;bash;strlen@plt",0,6648132,0.0000,0.0000,0.000
"all;fgrep;bash;execute_builtin",6659372,0,0.0000,0.0000,0.000
"all;fgrep;bash;copy_word_list",0,6301576,0.0000,0.0000,0.000
"all;fgrep;bash;initialize_shell_builtins",0,6777776,0.0000,0.0000,0.000
"all;fgrep;bash;main",9450556,20626530,0.0000,0.0000,2.183
"all;fgrep;bash;yyparse",0,6962145,0.0000,0.0000,0.000
"all;fgrep;bash;getppid@plt",6683546,0,0.0000,0.0000,0.000
"all;fgrep;bash;getenv",0,3579024,0.0000,0.0000,0.000
"all;fgrep;bash;create_variable_tables",0,6469965,0.0000,0.0000,0.000
"all;fgrep;bash;read_command",0,6426960,0.0000,0.0000,0.000
"all;fgrep;bash;dispose_words",6967711,0,0.0000,0.0000,0.000
"all;fgrep;bash;sh_canonpath",6870851,0,0.0000,0.0000,0.000
"all;fgrep;bash;seedrand32",0,6831957,0.0000,0.0000,0.000
"all;fgrep;bash;_init",6964804,0,0.0000,0.0000,0.000
"all;fgrep;bash;set_line_mbstate",6891608,0,0.0000,0.0000,0.000
"all;fgrep;bash;executing_line_number",6714816,0,0.0000,0.0000,0.000
"all;fgrep;bash;do_redirections",0,6769409,0.0000,0.0000,0.000
"all;fgrep;bash;array_insert",6932624,0,0.0000,0.0000,0.000
"all;fgrep;bash;bind_variable",6605051,0,0.0000,0.0000,0.000
"all;fgrep;bash;find_variable",0,3539339,0.0000,0.0000,0.000
"all;fgrep;bash;new_shell_variable",6478655,0,0.0000,0.0000,0.000
"all;fgrep;bash;maybe_make_export_env",6643884,0,0.0000,0.0000,0.000
"all;fgrep;bash;get_string_value",6865611,0,0.0000,0.0000,0.000
"all;fgrep;bash;make_word_flags",3345756,0,0.0000,0.0000,0.000
"all;fgrep;bash;free@plt",0,5245489,0.0000,0.0000,0.000
