cycles,comm,dso,symbol
16442276696,"g4run","libG4processes.so","G4HadProjectile::G4HadProjectile"
16369680152,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__class_type_info::__do_dyncast"
16266885706,"g4run","libG4processes.so","G4VEnergyLossProcess::AlongStepGetPhysicalInteractionLength"
16257913982,"g4run","libG4processes.so","G4NucleiModel::generateNucleon"
15975915252,"g4run","libG4processes.so","G4MuPairProductionModel::ComputeDMicroscopicCrossSection"
15898769885,"g4run","libG4processes.so","G4NucleiModel::getRatio"
15824497768,"g4run","libG4processes.so","G4UrbanMscModel::ComputeTrueStepLength"
15801259630,"g4run","libG4geometry.so","G4Navigator::SetSavedState@plt"
15778564368,"g4run","libG4track.so","aTrackAllocator"
15699199607,"g4run","libG4global.so","aCountedObjectAllocator"
15653365517,"g4run","libG4clhep.so","CLHEP::HepLorentzRotation::rotateZ"
15621305316,"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone2"
15600257303,"g4run","libG4geometry.so","G4NavigationLevel::operator=@plt"
15551049591,"g4run","libG4particles.so","G4ParticleDefinition::GetTrackingManager"
