cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses,comm,dso,symbol
1906188580,1851036802,380934613,35261567,1070173154,158458820,"g4run","libG4processes.so","G4CrossSectionDataStore::GetIsoCrossSection@plt"
1881646878,2216737636,162309839,38260666,871577263,138068444,"g4run","libpythia8.so","Pythia8::MultipartonInteractions::sigmaPT2scatter"
1871277189,1727688201,211732707,8941265,984973640,24532359,"g4run","libG4processes.so","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<std::pair<G4InuclElementaryParticle, double>*, std::vector<std::pair<G4InuclElementaryParticle, double>, std::allocator<std::pair<G4InuclElementaryParticle, double> > > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(std::pair<G4InuclElementaryParticle, double> const&, std::pair<G4InuclElementaryParticle, double> const&)> >"
1853201291,1624884115,370015489,35751379,1062871053,167486755,"g4run","libG4geometry.so","G4FieldManagerStore::GetInstance@plt"
1843498732,1627414603,312169217,31633841,1049604659,82343316,"g4run","libG4processes.so","G4CascadeCoalescence::removeNucleons"
1841088279,1914349959,358214518,33524156,1337394066,168825661,"g4run","libG4clhep.so","HepGeom::operator*"
1836816729,1277702910,283111420,75585443,709542096,73906541,"g4run","libG4processes.so","G4InuclSpecialFunctions::bindingEnergy"
1821511695,508750245,121253208,43284430,275948106,32584510,"g4run","libstdc++.so.6.0.30","std::_Rb_tree_increment"
1813274349,1397247769,176896080,77963234,848143091,54908595,"g4run","libc.so.6","__strlen_avx2"
1811065513,1553632983,274749212,29576703,1028311580,78211347,"g4run","libG4processes.so","G4CascadeCoalescence::FindClusters"
1801327547,1538584169,280564733,44677815,903354811,139279419,"g4run","libG4processes.so","G4WentzelOKandVIxSection::SetupKinematic"
1790806856,1671924021,343300294,40057911,1111934854,90533353,"g4run","libG4processes.so","G4CascadeCoalescence::createNuclei"
1785583908,1736669796,306838837,30860604,1102130000,159458264,"g4run","libG4geometry.so","G4LogicalVolume::GetSolid@plt"
1772674329,1637415047,200549239,22937458,1092783424,87580060,"g4run","libG4geometry.so","G4IntersectingCone::LineHitsCone1@plt"
1767889429,1992963185,352396995,29411247,1329225405,160521394,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError@plt"
1760453826,1336188724,165200827,66627373,706263472,43562199,"g4run","libG4processes.so","G4IntraNucleiCascader::newCascade"
1742570247,923683065,328789783,102925890,619208577,97577375,"g4run","libG4track.so","G4ParticleChangeForGamma::UpdateStepForAtRest"
1739585646,1039976641,279353832,103938467,708649983,101598544,"g4run","libG4processes.so","G4ComponentGGNuclNuclXsc::GetInelasticElementCrossSection"
1734872844,1269683761,298979621,66922958,706832986,81566220,"g4run","libG4processes.so","G4HadDecayGenerator::Generate"
1732301276,1834803097,225414402,21005037,1134257019,92950126,"g4run","libG4geometry.so","G4Box::SurfaceNormal"
1706963353,1539355837,332935007,27228278,1125628628,144137462,"g4run","libG4tracking.so","G4SteppingManager::ProcessSecondariesFromParticleChange@plt"
1699182914,1758194130,223019914,28646108,1146560256,105632259,"g4run","libG4geometry.so","G4Polycone::DistanceToIn"
1672360350,1946566907,410249,19442,954505317,128060,"g4run","libG4processes.so","G4MuBremsstrahlungModel::ComputeDMicroscopicCrossSection"
1662230087,1329705073,176048882,75076704,724476528,35348348,"g4run","libG4processes.so","G4CollisionOutput::setRemainingExitationEnergy"
1659733867,1306001803,305945567,38814960,808583419,124254891,"g4run","libG4processes.so","G4Decay::StartTracking"
1650667024,1038785223,227140519,91018165,524882848,41132296,"g4run","libG4processes.so","G4CascadeInterpolator<5>::getBin"
1641073934,1040067608,209767174,86229301,528907884,39789873,"g4run","libG4processes.so","G4CascadeDeexciteBase::validateOutput"
1640982467,2247382395,155317777,8718563,1266475766,66934764,"g4run","libG4geometry.so","G4IntersectionSolid::DistanceToIn"
1633462770,1130697357,307114879,102471127,693615723,54162307,"g4run","libG4processes.so","G4CascadeRecoilMaker::makeRecoilFragment"
1620011687,1134930661,215802481,78423605,693224464,57306295,"g4run","libG4processes.so","G4BraggIonModel::GetChargeSquareRatio"
1605354785,1363238275,292645381,49883503,769651301,74382019,"g4run","libG4processes.so","G4NucleiModel::isProjectile"
1601369956,867380219,143136239,72690126,496303729,35844228,"g4run","libG4processes.so","G4GammaTransition::SampleTransition"
1586803397,2608804444,27817649,5211756,1059609865,6758878,"g4run","libG4processes.so","G4PreCompoundFragment::IntegrateEmissionProbability"
1582521312,1533538100,229977742,20047113,843439241,58776737,"g4run","libG4processes.so","G4CascadeChannelTables::GetTable@plt"
1571742581,603560039,60776467,20835906,328094012,21900166,"g4run","libc.so.6","pthread_mutex_lock@@GLIBC_2.2.5"
1571383607,1362560752,177667167,26685014,762706343,40759113,"g4run","libG4processes.so","G4InuclParticle::operator=@plt"
1567374184,1618279805,174653941,29024688,955935925,69121142,"g4run","libG4particles.so","G4NucleiPropertiesTableAME12::GetNuclearMass@plt"
1563079649,1377210389,306626404,30271562,961517153,142741770,"g4run","libG4geometry.so","G4UnionSolid::DistanceToOut"
1561486703,1066464580,209846776,98971109,629367663,28660975,"g4run","libG4processes.so","G4CascadeDeexciteBase::getTargetData"
1553802049,1386682462,275575755,88784394,805665146,66302519,"g4run","libG4processes.so","G4CascadeCheckBalance::energyOkay"
1526886045,805212588,240257549,127700950,483516398,52107248,"g4run","libG4processes.so","G4NucleiModel::generateModel"
1519562198,1532001701,194957879,24583211,748962895,45206138,"g4run","libG4processes.so","G4InuclElementaryParticle::type@plt"
1515894337,1404852027,298690275,27664871,1008478103,93984884,"g4run","libG4event.so","G4StackManager::GetNUrgentTrack@plt"
1508529386,2008333785,136766473,15888662,979457949,65432992,"g4run","libG4processes.so","G4ComponentBarNucleonNucleusXsc::Interpolate"
1502485903,2279357269,20069016,3249191,1392832108,2386532,"g4run","libG4processes.so","G4CascadeCoalescence::tryClusters"
1497926335,1750712387,185815517,18341241,862545696,87937125,"g4run","libG4geometry.so","G4PolyPhiFace::InsideEdges@plt"
1495488878,1301174992,248111204,27915881,677244643,73050037,"g4run","libG4processes.so","G4LorentzConvertor::setBullet@plt"
1494312136,1052338759,192369337,78906083,542163148,68172174,"g4run","libG4processes.so","std::__insertion_sort<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, __gnu_cxx::__ops::_Iter_comp_iter<G4ParticleLargerEkin> >"
1472284986,1126023097,144452087,63425198,684429969,49824000,"g4run","libstdc++.so.6.0.30","operator delete"
1470040750,726002126,280982206,70175460,619338249,114303640,"g4run","libG4processes.so","G4CascadeInterface::IsApplicable"
1469682053,527738910,307292741,149163209,472942788,67632635,"g4run","libG4processes.so","G4LorentzConvertor::G4LorentzConvertor"
1466489863,1334618784,267059891,22323799,904120232,118420753,"g4run","libG4geometry.so","G4VPhysicalVolume::GetTranslation@plt"
1464470628,900225059,263418005,99320887,520419257,53970438,"g4run","libG4processes.so","G4InuclSpecialFunctions::getAL"
1456407167,1345516334,295432300,26252464,806459276,142847502,"g4run","libG4geometry.so","G4Mag_EqRhs::SetChargeMomentumMass@plt"
1456039911,737073175,228782217,75345184,527733452,97269456,"g4run","libG4processes.so","G4CascadeInterface::IsApplicable"
1446548619,617267881,160570357,100880480,493258098,31032422,"g4run","libG4processes.so","G4CascadeInterface::makeDynamicParticle"
1441884674,518799024,196164220,97466063,342463142,53037370,"g4run","libG4processes.so","G4CollisionOutput::removeRecoilFragment"
1440786356,2370117210,4816605,287208,1134396585,3626540,"g4run","libG4processes.so","G4SeltzerBergerModel::ComputeDXSectionPerAtom"
1436264644,857897047,115380903,61529781,458326548,24427399,"g4run","libG4processes.so","G4InuclNuclei::makeDefinition"
1432935336,1371596583,207163480,20864379,785422120,63996516,"g4run","libG4processes.so","G4ScreeningMottCrossSection::SetupKinematic"
1424789001,1265512597,86675923,11606824,649227098,39118604,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetAntiHadronNucleonTotCrSc"
1420860483,947891101,260270087,49519521,642355905,110166506,"g4run","libG4processes.so","G4BGGPionInelasticXS::GetElementCrossSection"
1408301919,982165290,173290043,67714480,612777247,51142105,"g4run","libG4processes.so","G4VEmModel::ChargeSquareRatio"
1407968877,1567408246,193209264,35402148,798898914,85841551,"g4run","libG4processes.so","G4NucleonNuclearCrossSection::ComputeCrossSections"
1407562486,776447602,156244870,76421346,422029995,31224171,"g4run","libG4processes.so","G4LorentzConvertor::getTRSMomentum"
1405638887,1658773871,108760298,21779273,580167975,90766261,"g4run","libpythia8.so","Pythia8::PDF::xf"
1379174072,1649278864,145330523,13053298,975330890,53028512,"g4run","libG4geometry.so","G4VIntersectionLocator::CheckAndReEstimateEndpoint"
1359076759,1080061121,277796108,24553131,697222318,124862837,"g4run","libG4processes.so","G4NeutronInelasticXS::SelectIsotope"
1355496337,1032286910,221880797,52253152,563059618,43809864,"g4run","libG4processes.so","G4CascadeRecoilMaker::goodRecoil"
1348450374,1170034361,130642572,17251103,662603067,25361088,"g4run","libG4processes.so","__dynamic_cast@plt"
1345422203,1204826961,173205205,28863775,653675733,65266667,"g4run","libG4processes.so","G4HadronNucleonXsc::KaonNucleonXscVG"
1341528558,1563865291,123265715,23982240,751305797,49791336,"g4run","libG4processes.so","G4BGGNucleonElasticXS::IsIsoApplicable"
1338007562,952214117,246317909,24504847,708607559,118369075,"g4run","libG4processes.so","G4NeutronInelasticXS::IsElementApplicable"
1325171997,774657409,193057331,47923310,490049626,80917278,"g4run","libG4processes.so","G4WentzelVIModel::DefineMaterial"
1324510048,867511941,155718437,88646672,410629742,25316390,"g4run","libG4processes.so","G4ExitonConfiguration::fill"
1321765386,1189315966,60659237,23366694,533021275,10980457,"g4run","libG4processes.so","G4EvaporationProbability::CrossSection"
1320781681,1190291336,197375101,24001928,643703737,61304344,"g4run","libG4processes.so","G4eBremsstrahlungRelModel::SampleSecondaries"
1303412676,1228628285,175606224,20628405,776959648,51233946,"g4run","libG4processes.so","G4InuclElementaryParticle::getStrangeness@plt"
1303237756,1616198490,104362718,12662987,937616165,22441039,"g4run","libG4processes.so","G4CascadeInterpolator<30>::getBin@plt"
1303124825,1908853347,36786116,11652340,675654462,5704725,"g4run","libG4processes.so","G4InuclSpecialFunctions::randomInuclPowers"
1299109547,772383463,208280340,78315032,460584494,76992878,"g4run","libG4processes.so","G4NuclearRadii::ExplicitRadius"
1296504651,673719904,221407724,71921006,470041402,53119997,"g4run","libG4particles.so","G4Gamma::Gamma"
1288255764,1125248640,210018280,30118278,718137230,88690394,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP@plt"
1285425205,1369482777,202021431,33261692,682489222,71667245,"g4run","libG4processes.so","G4HadronicProcess::RecomputeXSandMFP"
1275024289,764967621,174566639,55548183,707919927,58877905,"g4run","libG4geometry.so","field_utils::copy"
1274055475,1311505420,125728498,29900947,808570637,65566020,"g4run","libpythia8.so","Pythia8::ParticleDataEntry::mSel"
1255428393,694363871,74084855,28291479,376737479,30106622,"g4run","libG4particles.so","G4ParticleTable::FindParticle"
1247779055,1316214497,135950591,11653726,756369828,63047886,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway@plt"
1243433968,1006462270,108082312,42631264,720605601,39835896,"g4run","libG4processes.so","std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<G4InuclElementaryParticle*, std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> > >, __gnu_cxx::__ops::_Val_comp_iter<G4ParticleLargerEkin> >"
