id,cycles,instructions,branches,branch_misses
"all;g4run;libG4particles.so;G4ParticleTable::GetParticleTable@plt",3490746,0,0,7736
"all;g4run;libG4particles.so;G4DecayProducts::PopProducts",45174849,3037354,3913800,251032
"all;g4run;libG4particles.so;G4VDecayChannel::IsOKWithParentMass",142611827,67487175,8027504,468682
"all;g4run;libG4particles.so;G4AntiLambda::Definition",62734324,69211765,9271564,90652
"all;g4run;libG4particles.so;G4AntiTriton::Definition",201949575,126544191,15600944,792334
"all;g4run;libG4particles.so;G4KL3DecayChannel::PhaseSpace",0,0,461307,0
"all;g4run;libG4particles.so;G4AntiKaonZero::AntiKaonZero",10425446,6244057,481026,15722
"all;g4run;libG4particles.so;G4Gamma::Definition",12099281448,10612376513,1780943223,36909705
"all;g4run;libG4particles.so;G4VDecayChannel::~G4VDecayChannel",3491702,8493354,1951426,89042
"all;g4run;libG4particles.so;G4IonTable::GetIonMass",6953764,9603400,456719,43507
"all;g4run;libG4particles.so;G4NeutrinoE::Definition",27741967,9744711,1024917,52978
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetNuclearMass",25886865324,26146667450,4326125882,50255975
"all;g4run;libG4particles.so;G4Positron::Definition",20932120,6627519,428533,50147
"all;g4run;libG4particles.so;G4He3::Definition",184652335,160809078,25998126,618395
"all;g4run;libG4particles.so;G4DynamicParticle::SetMomentum",10502826020,8867478244,1431587381,38185986
"all;g4run;libG4particles.so;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",0,0,0,17369
"all;g4run;libG4particles.so;G4AntiNeutrinoTau::Definition",13954485,0,867479,36012
"all;g4run;libG4particles.so;std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition const*>, std::_Select1st<std::pair<int const, G4ParticleDefinition const*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition const*> > >::_M_insert_equal<std::pair<int const, G4ParticleDefinition const*> >",20936191,3009276,0,53639
"all;g4run;libG4particles.so;G4IonTable::InsertWorker",45192133,3623888,556583,173175
"all;g4run;libG4particles.so;G4TauMinus::Definition",13777085,0,0,0
"all;g4run;libG4particles.so;G4IonTable::GetNucleusEncoding",14676210521,13061635411,2129086800,27348184
"all;g4run;libG4particles.so;G4DecayProducts::G4DecayProducts",41871022,12826854,4622561,232385
"all;g4run;libG4particles.so;G4DynamicParticle::SetDefinition",34559407893,32431227487,5866031444,64457991
"all;g4run;libG4particles.so;G4DynamicParticle::~G4DynamicParticle",69814853038,63151790567,9790179955,183911176
"all;g4run;libG4particles.so;G4Electron::Electron",6136443593,5336018814,942500110,17144967
"all;g4run;libG4particles.so;G4KL3DecayChannel::DecayIt",0,0,0,7104
"all;g4run;libG4particles.so;G4PhaseSpaceDecayChannel::Pmx",55785798,0,3817433,331807
"all;g4run;libG4particles.so;G4IonTable::FindIsotope",0,0,0,7548
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::GetBindingEnergy",3491901,0,589530,17139
"all;g4run;libG4particles.so;G4AntiDeuteron::Definition",275189038,163126258,31742013,1070201
"all;g4run;libG4particles.so;G4Gamma::Definition@plt",688209644,446915718,59936800,3052971
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetNuclearMass@plt",1595767135,1742897490,308049190,4092865
"all;g4run;libG4particles.so;G4ExcitedNucleonConstructor::AddNPiMode",0,0,0,7801
"all;g4run;libG4particles.so;G4SigmaMinus::Definition",296247481,231831976,42400833,734716
"all;g4run;libG4particles.so;G4PionMinus::PionMinus",0,0,0,16694
"all;g4run;libG4particles.so;G4AntiNeutrinoE::Definition",6969776,0,1426969,73333
"all;g4run;libG4particles.so;G4VDecayChannel::DynamicalMass",0,0,0,6344
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::GetNuclearMass",10455508,17927897,3733802,16286
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::IsInTable@plt",831640517,693188139,125134284,1620518
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetBindingEnergy",8979979683,5342649913,1007897060,38316629
"all;g4run;libG4particles.so;G4Neutron::Definition@plt",6974305,0,0,31120
"all;g4run;libG4particles.so;G4IonTable::GetNucleusMass@plt",17338987,6600551,0,63756
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetAtomicMass",43266779683,42568274157,6807991152,81016915
"all;g4run;libG4particles.so;G4SigmaPlus::Definition",309971480,355520825,42190150,793166
"all;g4run;libG4particles.so;G4KaonZero::Definition@plt",6950317,0,0,34162
"all;g4run;libG4particles.so;G4IonTable::GetLightIon@plt",378444528,325904680,57451019,660129
"all;g4run;libG4particles.so;G4Proton::Definition",138558194874,136190231050,22309209633,304208422
"all;g4run;libG4particles.so;G4KaonZero::KaonZero",3487120,19711239,1035992,65716
"all;g4run;libG4particles.so;G4IonTable::Contains",6981233,0,520920,15511
"all;g4run;libG4particles.so;CLHEP::MixMaxRng::generate@plt",20890266,3117693,526788,45997
"all;g4run;libG4particles.so;G4NeutrinoTau::Definition",20867382,0,0,12027
"all;g4run;libG4particles.so;G4VDecayChannel::ClearDaughtersName",20910085,6483229,1382931,70639
"all;g4run;libG4particles.so;G4NuclideTable::GenerateNuclide",23107603,0,0,0
"all;g4run;libG4particles.so;G4IonTable::IsAntiIon",3488616,0,0,14509
"all;g4run;libG4particles.so;G4Gamma::Gamma",1093178795,786070739,100263549,5733690
"all;g4run;libG4particles.so;G4PionPlus::PionPlusDefinition",3492012,0,0,0
"all;g4run;libG4particles.so;G4Proton::Proton",17453379,22185326,2645717,75331
"all;g4run;libG4particles.so;G4IonTable::CreateIon",6983124,0,0,0
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::IsInTable",15616053425,14254955629,2231668821,39090322
"all;g4run;libG4particles.so;std::_Rb_tree<double, std::pair<double const, G4IsotopeProperty*>, std::_Select1st<std::pair<double const, G4IsotopeProperty*> >, std::less<double>, std::allocator<std::pair<double const, G4IsotopeProperty*> > >::_M_erase",0,0,6731519,0
"all;g4run;libG4particles.so;G4XiMinus::Definition",242653042,184222147,35690911,792856
"all;g4run;libG4particles.so;G4Proton::Definition@plt",0,3203063,0,15146
"all;g4run;libG4particles.so;G4OmegaMinus::Definition",319984012,174712664,26054707,776943
"all;g4run;libG4particles.so;G4ParticleDefinition::GetProcessManager",95357456551,104709948813,13574459143,117619949
