cycles_old,cycles_new,instructions_old,instructions_new,cache_references_old,cache_references_new,cache_misses_old,cache_misses_new,L1_dcache_loads_old,L1_dcache_loads_new,L1_dcache_load_misses_old,L1_dcache_load_misses_new,comm,dso,symbol
10467092,33360784,10005855,3286242,900700,370370,0,280381,1930028,5161604,28459,93489,"g4run","libc.so.6","alloc_perturb"
2964040,0,0,0,154801,0,0,0,0,0,85371,0,"g4run","libc.so.6","fclose@@GLIBC_2.2.5"
3321017,0,0,0,0,0,107456,0,0,0,0,0,"g4run","libc.so.6","_IO_file_fopen@@GLIBC_2.2.5"
3442921758,3674588377,2893655996,2889607735,272509469,302609822,88287290,102609423,1606573498,1583781742,77089410,83703739,"g4run","libc.so.6","_int_malloc"
6983165,6981409,0,6712344,311104,627957,0,40633,8921412,6120636,0,141710,"g4run","libc.so.6","isspace"
18396238413,22562644523,14793310753,17493781836,3196177388,4262052755,504805981,539706963,9560516950,11569198312,1237815340,1688216686,"g4run","libc.so.6","__memmove_avx_unaligned"
207273235,272337371,416891091,454074329,1542529,1829642,148451,207328,172113489,149649168,373579,308771,"g4run","libc.so.6","__mpn_lshift"
0,58008,0,0,0,0,0,1741,0,0,0,0,"g4run","libc.so.6","pthread_cond_wait@@GLIBC_2.3.2"
0,3449712,0,4363125,0,105624,0,0,0,0,0,28868,"g4run","libc.so.6","__GI___fileno"
0,3493325,0,0,0,469382,0,0,0,0,0,298810,"g4run","libc.so.6","__cxa_finalize"
3456027,24063625,0,0,0,0,0,0,0,0,0,0,"g4run","libc.so.6","__GI___lll_lock_wake"
158244486,134858535,311450806,388530821,1168802,757232,173712,54733,177695482,183714936,218655,60002,"g4run","libc.so.6","__mpn_mul"
12801005,10888989,16581020,37271264,322226,114722,23061,0,11740175,2733400,15038,22044,"g4run","libc.so.6","__correctly_grouped_prefixmb"
0,3484045,0,0,0,0,0,0,0,0,0,0,"g4run","libc.so.6","_IO_no_init"
1813274349,1969723393,1397247769,1472614467,176896080,194609243,77963234,76351789,848143091,732283974,54908595,66117008,"g4run","libc.so.6","__strlen_avx2"
210406082,138390345,3509256,26176221,1255470,2397737,151965,368140,3801338,1230059,81680,201263,"g4run","libc.so.6","__GI___lll_lock_wait"
3489775,3488964,0,0,282818,263810,0,0,0,4409053,0,0,"g4run","libc.so.6","__mpn_divrem"
26680085,43958944,87092417,71750265,488977,105521,40019,0,33264000,32632019,131852,12643,"g4run","libc.so.6","__mpn_construct_double"
202607161,145794165,276770768,248012728,3763454,4317899,419101,482448,115121894,126525538,1023996,580603,"g4run","libc.so.6","tolower"
53776693,38444234,117002836,91789601,1250595,113956,24828,101467,65763534,49010360,197237,9340,"g4run","libc.so.6","__mpn_mul_1"
13130772,2839474,0,6793443,1336287,1006658,325775,237615,4949772,0,457098,104072,"g4run","libc.so.6","__GI__IO_un_link.part.0"
0,47780,0,0,0,0,0,0,0,0,0,0,"g4run","libc.so.6","new_heap"
3488466,6980859,7582292,0,1574118,814545,127206,500048,5502357,0,702201,490830,"g4run","libc.so.6","__mprotect"
9999628,13482421,26962840,44288662,286480,0,0,0,10307124,10721051,91606,0,"g4run","libc.so.6","@plt"
0,3204474,0,0,0,0,0,0,0,0,0,0,"g4run","libc.so.6","__mpn_submul_1"
37009707443,33361593047,33492224702,30483666107,4656233798,4366253760,743379338,680219453,19048636250,17291813024,1079352820,1003389864,"g4run","libc.so.6","__strcmp_avx2"
0,6521276,0,0,0,503009,0,70431,0,6601793,0,0,"g4run","libc.so.6","hack_digit"
174875142,180832269,218933780,184317460,11903387,12837027,3185713,3086451,128004478,139530114,5333987,4973545,"g4run","libc.so.6","unlink_chunk.constprop.0"
0,3490714,0,0,0,0,0,0,0,0,0,0,"g4run","libc.so.6","__libc_alloca_cutoff"
6785834345,6479817722,6167052370,6330810814,822209106,808555827,145505203,133667001,3648270537,3923274946,198291431,209971235,"g4run","libc.so.6","__memmove_avx_unaligned_erms"
