id,cycles,instructions,cache_references,cache_misses,L1_dcache_loads,L1_dcache_load_misses
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libicuuc.so.71.1",,,,,,
"all;g4run;libG4particles.so;G4ParticleDefinition::FillQuarkContents",0,0,0,74639,0,0
"all;g4run;libG4particles.so;G4DecayProducts::~G4DecayProducts",41597305,10339018,12229747,4283879,12727088,1853546
"all;g4run;libG4particles.so;G4SigmaZero::Definition",358978784,341244831,54439520,6846918,213745898,12511807
"all;g4run;libG4particles.so;G4DynamicParticle::Set4Momentum",67859680774,67306944565,10255491265,1070562332,38106241646,2193954310
"all;g4run;libG4particles.so;G4ParticleTable::CheckReadiness",62451403,50915259,4816364,1070659,26779717,1537057
"all;g4run;libG4particles.so;G4AntiNeutron::Definition",233473519,131879221,28811171,7769806,103439291,5931895
"all;g4run;libG4particles.so;G4SigmaPlus::SigmaPlus",0,0,0,195583,0,0
"all;g4run;libG4particles.so;std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::_M_erase",3488402,0,1483,144538,0,0
"all;g4run;libG4particles.so;G4AntiNeutrinoMu::Definition",31355064,0,580659,1077089,4129614,0
"all;g4run;libG4particles.so;G4IonTable::FindIon@plt",511785779,430222533,95252879,7614482,325854653,36290797
"all;g4run;libG4particles.so;std::_Rb_tree<G4String, std::pair<G4String const, G4ParticleDefinition*>, std::_Select1st<std::pair<G4String const, G4ParticleDefinition*> >, std::less<G4String>, std::allocator<std::pair<G4String const, G4ParticleDefinition*> > >::find",198388785,59056657,16368084,5941940,24016541,3175525
"all;g4run;libG4particles.so;G4PhaseSpaceDecayChannel::TwoBodyDecayIt",212719015,70791442,14503262,13136660,35689478,4315036
"all;g4run;libG4particles.so;G4ExcitedSigmaConstructor::GetiSpin",0,0,133091,0,0,0
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::GetAtomicMass@plt",6971264,0,0,0,3259413,0
"all;g4run;libG4particles.so;G4PionMinus::Definition@plt",0,0,0,0,1831142,0
"all;g4run;libG4particles.so;G4IonTable::GetIonName",0,0,0,28984,0,0
"all;g4run;libG4particles.so;G4IonTable::FindIonInMaster",212267361,15599663,9257887,7056837,15871274,3675043
"all;g4run;libG4particles.so;G4PDefManager::offset@plt",3513098249,3435413691,646571101,56683927,2197188925,258490646
"all;g4run;libG4particles.so;G4ParticleTable::contains",0,0,0,74491,0,0
"all;g4run;libG4particles.so;CLHEP::HepLorentzVector::boost@plt",0,0,0,83737,0,0
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::GetNuclearMass@plt",3489382,6491594,0,0,1868504,0
"all;g4run;libG4particles.so;G4ParticleTable::CheckReadiness@plt",6980456,7960997,1299382,0,0,0
"all;g4run;libG4particles.so;G4XiZero::Definition",271413542,187281508,28217198,5349416,123550734,6938849
"all;g4run;libG4particles.so;G4DynamicParticle::G4DynamicParticle",6976563,12664616,653135,529538,4470797,267918
"all;g4run;libG4particles.so;G4TauPlus::Definition",3489410,3307876,581433,1151590,0,443726
"all;g4run;libG4particles.so;G4PDGCodeChecker::CheckForNuclei",3485476,0,0,0,0,0
"all;g4run;libG4particles.so;G4NucleiPropertiesTheoreticalTable::ElectronicBindingEnergy",3488540,3189139,663613,0,2030049,0
"all;g4run;libG4particles.so;std::_Rb_tree<int, std::pair<int const, G4ParticleDefinition*>, std::_Select1st<std::pair<int const, G4ParticleDefinition*> >, std::less<int>, std::allocator<std::pair<int const, G4ParticleDefinition*> > >::_M_erase",17101189,6092164,0,100164,3335342,31151
"all;g4run;libG4particles.so;G4Ions::FloatLevelBase",55821245,19105014,4403574,2011768,13907952,1841901
"all;g4run;libG4particles.so;G4KaonMinus::Definition",2811479782,2841465291,376320526,24416490,1775606292,88841841
"all;g4run;libG4particles.so;G4AntiKaonZero::Definition",2615688641,3153106844,307266606,47549940,1729555464,70436957
"all;g4run;libG4particles.so;G4DynamicParticle::~G4DynamicParticle@plt",3487947,0,0,72499,0,0
"all;g4run;libG4particles.so;G4Deuteron::Definition@plt",0,0,837744,231377,0,0
"all;g4run;libG4particles.so;G4NucleiProperties::BindingEnergy",3483364,3273772,720365,68556,0,197312
"all;g4run;libG4particles.so;G4DynamicParticle::operator=",38260683821,37221469950,5353955390,653306001,20246170617,967313773
"all;g4run;libG4particles.so;G4NucleiProperties::GetNuclearMass",58518542399,57064792917,8742774573,1126675605,36604081726,3044544735
"all;g4run;libG4particles.so;G4NucleiProperties::GetBindingEnergy",3648346139,2189751116,565273731,171792899,1312045969,122247467
"all;g4run;libG4particles.so;G4IonTable::FindIon",121071776402,97612866455,23679308887,3343689418,60961987409,8562238134
"all;g4run;libG4particles.so;G4DecayProducts::operator[]",0,0,0,125215,0,0
"all;g4run;libG4particles.so;G4NucleiPropertiesTableAME12::GetAtomicMass@plt",139222729,106942138,17790788,2652629,69178685,6119331
"all;g4run;libG4particles.so;G4ParticleTable::FindParticle",20915790,9892348,1188868,419197,4442681,293712
"all;g4run;libG4particles.so;G4SigmaMinus::SigmaMinus",0,0,0,68362,0,268052
"all;g4run;libG4particles.so;memcpy@plt",3489971,0,0,0,0,0
"all;g4run;libG4particles.so;G4DecayProducts::PushProducts",52318940,16212694,5043300,2963976,11249938,925807
"all;g4run;libG4particles.so;G4ParticleDefinition::GetTrackingManager",35762179163,31353867623,7079917164,832485451,22248192415,2603199209
"all;g4run;libG4particles.so;G4PionMinus::Definition",4095545795,3985136510,529483502,103959207,2552112925,140353341
