instructions,uops_dispatched,uops_retired,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched,comm,dso,symbol
1374828291,1593692840,1479435361,163644331,1095554653,603876731,"g4run","libG4geometry.so","G4LogicalBorderSurface::GetSurface"
1368210013,1591454535,1526300579,93024483,1309919180,228241578,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
1360075543,1559290250,1455764374,183139798,1085667587,397811929,"g4run","libG4processes.so","G4OpticalParametersMessenger::G4OpticalParametersMessenger"
1346429201,1708769754,1575374738,115755402,690320545,924394674,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonalie"
1339345425,1447527015,1388366576,174669002,1033670020,427269149,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepRandom::getTheEngine"
1314760939,1294435372,1317230409,165062183,1178022534,204334868,"g4run","libG4particles.so","0x000000000006f80c"
1304390266,1316921795,1370840108,179624182,1127529539,181915950,"g4run","libG4processes.so","G4ScoreSplittingProcess::Verbose"
1301052752,1356884756,1453682326,58968787,554047143,808892140,"g4run","libm.so.6","__ieee754_pow_fma"
1300780480,1509319597,1320290001,153147906,985561745,563980031,"g4run","libG4processes.so","G4ITMultiNavigator::GetGlobalExitNormal"
1288290786,1379391082,1390865697,154594932,1090755530,335981702,"g4run","libG4track.so","G4Track::G4Track"
1227537606,1499974946,1453618820,127943029,727068073,692134871,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
1219018765,1517240935,1225558611,122546525,1036710450,412581384,"g4run","libG4processes.so","G4PAIySection::DifPAIySection"
1217722325,1440857360,1334225138,127589372,993899182,408537430,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::flatArray"
1203681836,1266169254,1307825305,49726075,576718889,634404634,"g4run","g4run","ffunkti"
1196682059,1186284095,1280820412,95883115,781921226,372237286,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
1187275416,1259540818,1204579493,125775880,956165323,348226843,"g4run","libG4geometry.so","G4ParameterisedNavigation::LocateNextVoxel"
1185603946,1419629547,1255896585,133512246,900431626,503307578,"g4run","libG4processes.so","G4ScoreSplittingProcess::AtRestDoIt"
1169483634,1398611315,1338303358,165843998,898672568,473742297,"g4run","libG4geometry.so","field_utils::relativeError2"
1148397957,1333007910,1272270399,124677231,988256937,352303793,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
1113990022,1302744477,1236244030,132828395,745223434,448491791,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::CopyStep"
1101671871,1182838420,1169194217,245953794,1024248335,233437417,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
1094660427,1174610492,1205292923,115267527,952495974,222104375,"g4run","libG4track.so","G4VParticleChange::CheckIt"
1092178695,1257509774,1171694116,118447583,789389204,453312993,"g4run","libG4tracking.so","0x000000000002f809"
1091041720,1220058240,1166205794,94113437,647285476,568636750,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper"
1053266179,1219837536,1117321926,84794114,655251692,582729467,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
1052884560,1282868161,1154451166,90167880,636790748,702593747,"g4run","libG4geometry.so","G4Paraboloid::SurfaceNormal"
1049698981,1020006119,1081049926,55862949,745324423,305956065,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::operator="
1039596260,1247221576,1185635509,97538852,816786021,327194936,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
1032146253,1161111331,1111550153,114117952,659355000,491606558,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonal"
1026540654,1196419477,1183895332,103385964,1022852479,217720646,"g4run","libG4event.so","G4GeneralParticleSource::ListSource"
986676744,1094805504,1056930894,108338337,713489943,391592107,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
983129424,1033851911,1075301143,195350108,892955026,164208147,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
975699196,1233693704,1161306440,99321422,706232131,570379814,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ReadData"
972112256,1095351697,1063835443,155085358,686963894,432029495,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetIndex"
961409392,1085335684,1171210733,53813699,556006464,539250253,"g4run","libG4geometry.so","G4Box::SetYHalfLength"
958360887,949963864,1035442340,182463640,894806541,78797310,"g4run","libG4processes.so","G4LightTargetCollider::collide"
952277180,1172710899,1061168135,94389317,690629676,420012726,"g4run","libG4geometry.so","G4BooleanSolid::StackPolyhedron"
918754438,982870612,936674566,78551876,437252865,570642465,"g4run","libG4geometry.so","G4PolyhedraSide::Normal"
914970785,985421564,966635096,100922810,679301126,348404174,"g4run","libG4geometry.so","G4PVParameterised::CheckOverlaps"
897030095,1035064985,882663666,175066390,831592704,172524354,"g4run","libG4particles.so","G4DynamicParticle::operator="
894807377,1011631172,1028454439,111812117,549280933,469174294,"g4run","libG4geometry.so","G4FieldManager::G4FieldManager"
884454253,968709421,968223366,185776958,829197750,137465724,"g4run","libG4particles.so","G4OmegacZero::Definition"
880633588,1079649082,1035618037,118006750,712909523,335253408,"g4run","libG4track.so","G4StepPoint::G4StepPoint"
863583786,1033164035,988864147,121696219,780312699,289946274,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU"
844844004,891925494,851146040,80574163,572528985,370286104,"g4run","libG4track.so","G4Step::GetDeltaEnergy"
842898847,957453046,956337632,87198731,471388226,451658120,"g4run","libG4geometry.so","G4IntegrationDriver<G4MagIntegratorStepper>::OneGoodStep"
832227237,950421178,939387582,49762220,683860734,260342535,"g4run","libG4processes.so","G4SBBremTable::ClearSamplingTables"
830754109,843773858,834685635,167511664,712987058,109534190,"g4run","libG4particles.so","G4LambdacPlus::Definition"
827565373,937911647,920167130,61400235,695460510,279786551,"g4run","libG4geometry.so","G4NormalNavigation::G4NormalNavigation"
824052729,1011526611,932014113,107873348,551400300,368647723,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
811855601,937339556,893507941,94978916,699992534,241189881,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
809789900,956410694,912483999,111638995,692602618,260366788,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd"
798637135,841946651,902783479,91950418,585513772,323571440,"g4run","libG4tracking.so","0x000000000002f81c"
793349024,860883879,825126643,66771731,418518340,458645367,"g4run","libG4processes.so","G4LossTableManager::GetEnergyLossProcess"
790515007,774851642,826978572,118014754,702840636,83735390,"g4run","libG4geometry.so","G4FieldManagerStore::DeRegister"
790064117,846687204,876206312,132825342,793400997,122291691,"g4run","libG4processes.so","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
782827269,942173272,878966630,89229622,661632439,314090978,"g4run","libG4geometry.so","G4ReflectionFactory::Place"
777803068,785702540,904795637,111998196,499521471,322792982,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
773490427,1037402470,953011853,143162428,817494931,207633633,"g4run","libG4track.so","G4ParticleChangeForMSC::DumpInfo"
770724394,899119995,827166871,77114371,592157737,208380560,"g4run","libG4geometry.so","aNavigHistoryAllocator"
769831467,925576354,840127291,101996389,648728966,239274195,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetInelasticIsotopeCrossSection"
762137066,876540218,882759876,136157225,638851707,267515246,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection"
747712944,920709801,907054373,83100709,480619363,403997237,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
745761990,893781420,794803644,121386617,594285290,299910057,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4FastList<G4Track>*>, std::_Select1st<std::pair<int const, G4FastList<G4Track>*> >, std::less<int>, std::allocator<std::pair<int const, G4FastList<G4Track>*> > >::_M_erase"
740475017,846541357,785639136,45134912,371284990,428873779,"g4run","libG4geometry.so","G4DisplacedSolid::BoundingLimits"
733659672,856544270,774981055,112020605,581767943,308192675,"g4run","libG4geometry.so","operator<<"
731989457,763896236,836197521,80943828,487356267,353655871,"g4run","libG4geometry.so","G4FSALBogackiShampine45::Stepper"
725894322,820315962,833494073,58111242,540451390,201388643,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetQ2_2"
725569783,855428815,860556313,61401846,456197533,392381243,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
723546171,828804504,852687989,47112779,378394217,470571455,"g4run","libG4processes.so","G4Radioactivation::DecayIt"
701158871,824019964,819491434,95780812,658494683,172420018,"g4run","libG4processes.so","G4PEEffectFluoModel::G4PEEffectFluoModel"
698733636,870766277,747169088,154611142,700300684,97562213,"g4run","libCLHEP-2.4.5.3.so","CLHEP::operator/"
686447258,798000869,825825994,33739431,276091800,471350199,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AccurateAdvance"
679816990,808090566,719219574,79285066,469842996,276173104,"g4run","libG4geometry.so","G4ReflectionFactory::ReflectPVDivision"
676695906,819722858,747384714,83361619,419450578,312228192,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeParametrizedXSectionPerAtom"
674927997,718201875,683387520,118055818,613405000,90293393,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscPDG"
672021185,709017030,753115629,41487844,508724528,198158936,"g4run","libG4processes.so","G4PhotoElectricEffect::InitialiseProcess"
671074036,594907446,668324441,37569085,327317749,322932443,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::GetTabValues"
664059270,822618789,705421336,128825451,818359118,90776045,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
663627153,758845990,795855165,147543081,704127158,93485178,"g4run","libG4processes.so","G4RKPropagation::Init"
650709774,743618812,730993105,91360971,462181678,268250149,"g4run","libG4geometry.so","field_utils::absoluteError"
639706001,792594503,727918328,61388651,556961898,221822288,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::ReadDataFile"
634641930,812652166,709144693,151458546,825933523,54756573,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
632496189,636908742,710554707,29646511,598313057,143907335,"g4run","libG4event.so","std::unique_lock<std::mutex>::unlock"
618347789,677266898,646069937,88635957,500345889,156633825,"g4run","libCLHEP-2.4.5.3.so","CLHEP::HepLorentzVector::boostVector"
614528374,671975151,678291956,119602500,521754032,129284525,"g4run","libG4processes.so","std::_Rb_tree<G4MoleculeDefinition const*, std::pair<G4MoleculeDefinition const* const, double>, std::_Select1st<std::pair<G4MoleculeDefinition const* const, double> >, std::less<G4MoleculeDefinition const*>, std::allocator<std::pair<G4MoleculeDefinition const* const, double> > >::_M_erase"
611342992,743945926,686973514,103025206,609922417,144658037,"g4run","libG4processes.so","G4OpticalParameters::StreamInfo"
610091777,616215616,621112549,44220421,314349111,277014641,"g4run","libm.so.6","__ieee754_exp_fma"
