cycles,instructions,dTLB_loads,dTLB_load_misses,iTLB_loads,iTLB_load_misses,comm,dso,symbol
487039344,890250701,9213913,117104,2819861,41672,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonal"
486940721,818390458,6795916,78160,2360401,22378,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
478736486,722207542,11877523,60550,4229427,16567,"g4run","libG4processes.so","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
477694277,736247214,7809582,66919,3862595,15764,"g4run","libG4processes.so","G4IntraNucleiCascader::copyWoundedNucleus"
476899448,704097997,7015906,49727,5440146,20041,"g4run","libG4processes.so","G4RKPropagation::FieldTransport"
468710871,766204095,7746316,82871,2646354,23679,"g4run","libm.so.6","__ieee754_exp_fma"
466036628,718052172,20031451,62765,7725900,27308,"g4run","libG4track.so","G4ParticleChange::DumpInfo"
463877333,682326501,13465638,103800,3050158,12593,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetInelasticIsotopeCrossSection"
462711667,606677701,13092386,70422,4892285,5671,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
461883682,625002630,10951888,134413,3401961,19049,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
460225699,679195062,8460516,42368,4783129,5377,"g4run","libG4processes.so","G4IntraNucleiCascader::rescatter"
458988153,759877055,6780808,99053,1082483,4246,"g4run","libG4geometry.so","G4NormalNavigation::G4NormalNavigation"
455591672,631936955,13967961,67252,6508880,8475,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscVU"
454865437,643451975,11253699,111419,3355054,18947,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection"
452935765,659162362,17179484,117680,2323308,8924,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::ReadDataFile"
452125086,681492244,6603120,87352,4427890,14797,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
452064600,805743859,7506039,59206,5908772,19347,"g4run","libG4geometry.so","G4FieldManagerStore::DeRegister"
445866458,743892304,10733215,69729,2748439,12694,"g4run","libG4geometry.so","G4IntegrationDriver<G4MagIntegratorStepper>::OneGoodStep"
445035792,602556322,13220690,152089,2097915,5750,"g4run","libG4geometry.so","G4Trap::MakePlane"
443057078,600583506,6122716,60874,2809863,4729,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getMultiplicity"
442964211,701104852,9673145,82354,3061018,6887,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
442828708,607983994,11387115,67218,5013623,16895,"g4run","libG4processes.so","G4OpticalParameters::StreamInfo"
441612059,622794653,13288107,168628,3104991,10591,"g4run","libG4geometry.so","G4Tubs::DistanceToOut"
431224947,885524492,3803444,53511,2446836,12526,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
425772935,748738044,4203118,85554,766941,1954,"g4run","libG4geometry.so","G4Box::SetYHalfLength"
425573899,709916739,11960415,87931,1994345,6831,"g4run","libG4processes.so","G4LossTableManager::GetEnergyLossProcess"
422773771,592320975,10168857,65742,4220825,31311,"g4run","libG4processes.so","std::_Rb_tree<G4MoleculeDefinition const*, std::pair<G4MoleculeDefinition const* const, double>, std::_Select1st<std::pair<G4MoleculeDefinition const* const, double> >, std::less<G4MoleculeDefinition const*>, std::allocator<std::pair<G4MoleculeDefinition const* const, double> > >::_M_erase"
417927756,629111281,5374985,31659,3402926,14585,"g4run","libG4processes.so","G4NucleiModel::~G4NucleiModel"
416393506,666143114,6354171,82523,1783148,20342,"g4run","libG4geometry.so","aNavigHistoryAllocator"
409577119,612360759,6291662,23128,3200314,5104,"g4run","libG4processes.so","G4PEEffectFluoModel::G4PEEffectFluoModel"
401173121,592605215,10694469,65841,2671305,7503,"g4run","libG4geometry.so","field_utils::absoluteError"
397749958,632313310,9277585,58340,3009718,23479,"g4run","libG4geometry.so","operator<<"
395630877,607109213,10005431,51754,2239572,6510,"g4run","libG4tracking.so","G4Step::InitializeStep"
394140505,685509059,13099566,69539,2486461,10450,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::SetParallelWorld"
392123808,487663195,9394970,104310,3069303,11309,"g4run","libG4processes.so","G4PAIySection::G4PAIySection"
