cycles_ukP,comm,dso,symbol
453359928,"g4run","libG4geometry.so","G4ReflectionFactory::Place"
448756186,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::SetParallelWorld"
448417837,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::CrossSectionDescription"
443402950,"g4run","libG4processes.so","G4SBBremTable::LoadSTGrid"
442003215,"g4run","libG4particles.so","G4IonTable::FindIon"
437114464,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::printXsec"
432384818,"g4run","libG4processes.so","G4NeutronElasticXS::G4NeutronElasticXS"
429420916,"g4run","libG4processes.so","G4CascadeDeexciteBase::G4CascadeDeexciteBase"
428012254,"g4run","libG4geometry.so","G4PolyhedraSide::Normal"
427549824,"g4run","libG4processes.so","G4OpticalParameters::StreamInfo"
427316606,"g4run","libG4tracking.so","G4SteppingManager::InvokePSDIP"
426638219,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
420343007,"g4run","libG4particles.so","G4PhaseSpaceDecayChannel::ManyBodyDecayIt"
418944340,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::ReadDataFile"
409201474,"g4run","libG4geometry.so","G4PolyPhiFace::Diagonal"
405027142,"g4run","libG4tracking.so","0x000000000002f81c"
402889088,"g4run","libG4geometry.so","G4FieldManager::G4FieldManager"
402876773,"g4run","libG4processes.so","G4CollisionOutput::operator="
400985232,"g4run","libG4geometry.so","G4FieldManagerStore::DeRegister"
400611837,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ReadData"
400095292,"g4run","libG4geometry.so","G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::Stepper"
398715378,"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4FastList<G4Track>*>, std::_Select1st<std::pair<int const, G4FastList<G4Track>*> >, std::less<int>, std::allocator<std::pair<int const, G4FastList<G4Track>*> > >::_M_erase"
395928323,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
394665048,"g4run","libG4processes.so","G4LossTableManager::GetEnergyLossProcess"
386166763,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
385438142,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetInelasticIsotopeCrossSection"
382632128,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMGsPhis"
376360961,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetLightFq2"
372162405,"g4run","libG4geometry.so","G4NormalNavigation::G4NormalNavigation"
371469750,"g4run","libG4processes.so","G4IntraNucleiCascader::initialize"
369375452,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection"
367288318,"g4run","libG4processes.so","G4CascadeInterface::ApplyYourself"
363796234,"g4run","libG4geometry.so","aNavigHistoryAllocator"
361695793,"g4run","libG4processes.so","G4CascadeDeexciteBase::makeFragment"
360993289,"g4run","libG4particles.so","G4AntiNeutrinoTau::Definition"
357513933,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
356804217,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeGamPChannelData, G4PionNucSampler>::getMultiplicity"
355417821,"g4run","libG4geometry.so","G4FSALBogackiShampine45::Stepper"
355409599,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
354022925,"g4run","libG4tracking.so","G4Step::InitializeStep"
354010856,"g4run","libG4processes.so","G4InuclElementaryParticle::makeDefinition"
350521735,"g4run","libG4track.so","G4VParticleChange::DumpInfo"
350500690,"g4run","libG4processes.so","G4ChipsKaonMinusElasticXS::GetPTables"
349751230,"g4run","libG4processes.so","G4CascadeData<30, 1, 6, 16, 29, 42, 54, 41, 47>::print"
347738386,"g4run","libG4geometry.so","G4BooleanSolid::StackPolyhedron"
347733363,"g4run","libG4processes.so","G4PairProductionRelModel::G4PairProductionRelModel"
347729058,"g4run","libG4processes.so","G4SeltzerBergerModel::ReadData"
344952752,"g4run","libG4processes.so","G4ElementaryParticleCollider::collide"
342855728,"g4run","libG4processes.so","G4RKPropagation::GetSphereIntersectionTimes"
342173188,"g4run","libG4event.so","G4GeneralParticleSourceData::~G4GeneralParticleSourceData"
340746748,"g4run","libG4processes.so","G4IntraNucleiCascader::createTarget"
337983242,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
337257788,"g4run","libG4geometry.so","G4ReflectionFactory::ReflectPVDivision"
335152080,"g4run","libG4geometry.so","G4IntegrationDriver<G4MagIntegratorStepper>::OneGoodStep"
330289406,"g4run","libG4geometry.so","G4Box::SetYHalfLength"
328878913,"g4run","libG4processes.so","std::_Rb_tree<G4MoleculeDefinition const*, std::pair<G4MoleculeDefinition const* const, double>, std::_Select1st<std::pair<G4MoleculeDefinition const* const, double> >, std::less<G4MoleculeDefinition const*>, std::allocator<std::pair<G4MoleculeDefinition const* const, double> > >::_M_erase"
325299999,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
323296275,"g4run","libG4geometry.so","G4LogicalVolume::~G4LogicalVolume"
323289978,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
320507310,"g4run","libG4processes.so","G4PAIySection::G4PAIySection"
317710014,"g4run","libG4geometry.so","G4Tubs::ApproxSurfaceNormal"
313517047,"g4run","libG4particles.so","G4IonTable::GetIon"
312822140,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetNuclearMass"
309102158,"g4run","libG4event.so","0x000000000006a4a7"
308635975,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
308632100,"g4run","libG4processes.so","std::vector<G4InuclNuclei, std::allocator<G4InuclNuclei> >::_M_realloc_insert<G4InuclNuclei const&>"
307228080,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::~vector"
307216233,"g4run","libG4geometry.so","field_utils::absoluteError"
306539601,"g4run","libG4event.so","std::unique_lock<std::mutex>::unlock"
303746806,"g4run","libG4processes.so","G4PEEffectFluoModel::G4PEEffectFluoModel"
301036591,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
298851224,"g4run","libG4geometry.so","G4MagneticField::G4MagneticField"
291836298,"g4run","libG4geometry.so","G4Trap::MakePlane"
290465267,"g4run","libm.so.6","exp@@GLIBC_2.29"
289773208,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::printTable"
286982490,"g4run","libG4tracking.so","std::vector<G4String, std::allocator<G4String> >::_M_realloc_insert<char const*&>"
282087221,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
280700994,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
280697529,"g4run","libG4processes.so","G4ChipsPionPlusInelasticXS::GetChipsCrossSection"
277913047,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
277200929,"g4run","libG4track.so","std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>"
275811851,"g4run","libG4processes.so","G4NeutronElasticXS::Initialise"
273016378,"g4run","libG4processes.so","G4Fancy3DNucleus::ReduceSum"
268831439,"g4run","libG4geometry.so","operator<<"
268831001,"g4run","libG4processes.so","0x00000000008b0739"
268826354,"g4run","libG4global.so","G4PhysicsVector::Retrieve"
268184715,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getOutgoingParticleTypes"
266044920,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::IsAtRestRequired"
263235463,"g4run","libG4geometry.so","G4Paraboloid::Clone"
262873975,"g4run","libG4geometry.so","G4PolyPhiFace::Intersect"
258345714,"g4run","libG4processes.so","G4ElectroNuclearCrossSection::GetElementCrossSection"
256957530,"g4run","libG4geometry.so","G4PolyconeSide::G4PolyconeSide"
256956308,"g4run","libG4processes.so","G4NonEquilibriumEvaporator::deExcite"
256261000,"g4run","libG4processes.so","G4NuclearPolarization::operator=="
256254239,"g4run","libG4track.so","G4Step::GetSecondaryInCurrentStep"
255562207,"g4run","libG4processes.so","G4LossTableBuilder::BuildDEDXTable"
255553027,"g4run","libG4particles.so","0x0000000000081316"
254870113,"g4run","libG4tracking.so","G4UserSteppingAction::UserSteppingAction"
252059317,"g4run","libG4processes.so","G4ChipsKaonPlusElasticXS::~G4ChipsKaonPlusElasticXS"
250673366,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::operator="
