cycles,faults,minor_faults,major_faults,alignment_faults,comm,dso,symbol
63495783,0,0,0,0,"g4run","libG4geometry.so","std::_Rb_tree<G4String, std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > >, std::_Select1st<std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > > >, std::less<G4String>, std::allocator<std::pair<G4String const, std::vector<G4VPhysicalVolume*, std::allocator<G4VPhysicalVolume*> > > > >::find"
62831846,0,0,0,0,"g4run","libG4particles.so","0x000000000008131f"
62825528,0,0,0,0,"g4run","libG4geometry.so","G4ElectroMagneticField::operator=@plt"
62809130,0,0,0,0,"g4run","libG4processes.so","G4HadronXSDataTable::Initialise"
62805329,0,0,0,0,"g4run","libG4processes.so","G4VTransitionRadiation::PostStepDoIt"
62128593,0,0,0,0,"g4run","libG4processes.so","G4RKPropagation::~G4RKPropagation"
62125383,0,0,0,0,"g4run","libG4global.so","G4Pow::G4Pow"
62115969,0,0,0,0,"g4run","libG4processes.so","G4NeutronCaptureXS::SelectIsotope"
62106831,0,0,0,0,"g4run","libG4geometry.so","G4UniformElectricField::G4UniformElectricField@plt"
62103268,0,0,0,0,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::GetDerivatives@plt"
60728702,0,0,0,0,"g4run","libG4tracking.so","G4Step::UpdateTrack"
60724017,0,0,0,0,"g4run","libG4processes.so","G4RToEConvForPositron::ComputeValue"
60003972,0,0,0,0,"g4run","libG4particles.so","G4IonTable::FindIon"
59330430,0,0,0,0,"g4run","libG4processes.so","G4NuclNucl3BodyAngDst::G4NuclNucl3BodyAngDst"
59324671,0,0,0,0,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroNChannelData, G4KaonSampler>::printTable"
59011596,0,0,0,0,"g4run","libG4processes.so","G4NeutronCaptureXS::GetIsoCrossSection"
58630428,0,0,0,0,"g4run","libG4processes.so","G4ParticleHPNHe3InelasticFS::G4ParticleHPNHe3InelasticFS@plt"
58615746,0,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd@plt"
57238195,0,0,0,0,"g4run","libG4processes.so","G4LivermorePhotoElectricModel::ReadData"
56526118,0,0,0,0,"g4run","libG4processes.so","G4HadronicParameters::SetXSFactorHadronInelastic"
56526109,0,0,0,0,"g4run","libG4geometry.so","G4PolyPhiFace::IntersectProp@plt"
55846774,0,0,0,0,"g4run","libG4processes.so","G4InitXscPAI::KillCloseIntervals"
55832931,0,0,0,0,"g4run","libc.so.6","__memmove_avx_unaligned_erms"
55830119,0,0,0,0,"g4run","libG4processes.so","G4CascadeCheckBalance::collide"
55825602,0,0,0,0,"g4run","libG4geometry.so","G4Paraboloid::operator="
55133560,0,0,0,0,"g4run","libG4geometry.so","G4UnionSolid::DistanceToOut"
54448230,0,0,0,0,"g4run","libG4processes.so","G4OpticalParameters::GetScintByParticleType"
54427551,0,0,0,0,"g4run","libG4particles.so","G4IonTable::GetIon"
53741267,0,0,0,0,"g4run","libG4processes.so","G4LossTableBuilder::GetFlag"
53734801,0,0,0,0,"g4run","libG4processes.so","G4ChipsPionPlusElasticXS::GetChipsCrossSection"
53728503,0,0,0,0,"g4run","libG4processes.so","G4CascadeInterface::copyOutputToHadronicResult"
53053078,0,0,0,0,"g4run","libG4processes.so","G4CascadeCoalescence::FindClusters"
53034535,0,0,0,0,"g4run","libG4geometry.so","0x0000000000270bad"
53031257,0,0,0,0,"g4run","libG4tracking.so","G4VVisManager::GetConcreteInstance@plt"
51661422,0,0,0,0,"g4run","libG4geometry.so","G4PolyhedraSide::GetPhi@plt"
51644591,0,0,0,0,"g4run","libm.so.6","__acos"
50958167,0,0,0,0,"g4run","libG4geometry.so","0x00000000001fea09"
50956866,0,0,0,0,"g4run","libG4global.so","G4Physics2DVector::PutVectors"
50953278,0,0,0,0,"g4run","libG4processes.so","G4CascadeDeexciteBase::getTargetData"
50934826,0,0,0,0,"g4run","libc.so.6","cfree@GLIBC_2.2.5"
50257716,0,0,0,0,"g4run","libG4processes.so","G4CascadeData<31, 3, 18, 53, 2, 2, 2, 0, 0>::print"
50254573,0,0,0,0,"g4run","libG4processes.so","G4CascadeParamMessenger::G4CascadeParamMessenger"
49563345,0,0,0,0,"g4run","libG4geometry.so","G4ModifiedMidpoint::DoStep"
49554092,0,0,0,0,"g4run","libG4processes.so","G4CascadeData<30, 1, 9, 22, 38, 53, 69, 78, 86>::print"
49551400,0,0,0,0,"g4run","libG4processes.so","G4NuclNuclDiffuseElastic::Initialise"
48861069,0,0,0,0,"g4run","libstdc++.so.6.0.30","std::_Rb_tree_increment"
48834988,0,0,0,0,"g4run","libG4processes.so","G4SeltzerBergerModel::~G4SeltzerBergerModel"
48158552,0,0,0,0,"g4run","libG4processes.so","G4EmExtraParameters::ActivateSecondaryBiasing"
48155572,0,0,0,0,"g4run","libG4processes.so","G4NeutronCaptureXS::GetElementCrossSection"
48145779,0,0,0,0,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::setSpherical"
48144665,0,0,0,0,"g4run","libG4processes.so","G4VEmProcess::GetCurrentLambda"
46766388,0,0,0,0,"g4run","libG4geometry.so","0x00000000001c9a6c"
46765159,0,0,0,0,"g4run","libG4processes.so","G4ChipsKaonMinusElasticXS::GetSlope"
46758884,0,0,0,0,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetElasticIsotopeCrossSection"
46756922,0,0,0,0,"g4run","libG4geometry.so","G4BooleanSolid::GetListOfPrimitives"
46224520,0,0,0,0,"g4run","libG4processes.so","G4IntraNucleiCascader::G4IntraNucleiCascader"
46075444,0,0,0,0,"g4run","libG4processes.so","G4ExcitationHandler::SetParameters"
46067234,0,0,0,0,"g4run","libG4geometry.so","G4DisplacedSolid::SetObjectRotation"
46064237,0,0,0,0,"g4run","libG4processes.so","G4INCL::NNToNLK2piChannel::~NNToNLK2piChannel@plt"
45379064,0,0,0,0,"g4run","libG4geometry.so","0x0000000000270ba8"
45353063,0,0,0,0,"g4run","libG4particles.so","G4IonTable::GetNucleusByEncoding"
45351271,0,0,0,0,"g4run","libG4processes.so","G4CollisionOutput::getTotalBaryonNumber"
44671045,0,0,0,0,"g4run","libG4global.so","G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton"
