      16896180    44421295     8237225       29740  libstdc++.so.6.0.30    [.] std::istream::_M_extract<double>
      16874016    39487074     9464852       35352  libG4global.so         [.] G4UnitDefinition::GetValueOf
      16861335    18671595     1894827        4068  libstdc++.so.6.0.30    [.] std::basic_streambuf<char, std::char_traits<char> >::xsgetn
      16835141    35469141     5645923       11106  libxerces-c-3.2.so     [.] xercesc_3_2::DOMAttrMapImpl::findNamePoint
      15929424    27096265     2453452       12577  libstdc++.so.6.0.30    [.] std::string::reserve
      15925704    24202316     5595415       41758  libc.so.6              [.] pthread_mutex_unlock@@GLIBC_2.2.5
      15871639    34536845     3972797       12047  libG4processes.so      [.] G4WentzelVIModel::ComputeCrossSectionPerAtom
      15856933    42505272     5731088       30524  libxerces-c-3.2.so     [.] non-virtual thunk to xercesc_3_2::DOMTextImpl::getNodeImpl()
      15721572    54512255     5986768       36244  libG4geometry.so       [.] G4BoundingEnvelope::CheckBoundingBox
      15574849     9982714     3410383       48273  [kernel.kallsyms]      [k] perf_iterate_ctx
      15371536     2662521      274963        9186  [kernel.kallsyms]      [k] exit_to_user_mode_prepare
      15310885     9557518      469184       15634  [kernel.kallsyms]      [k] futex_wake
      14962542    23007048     2047308        7897  libG4processes.so      [.] G4EmModelManager::FillLambdaVector
      14912291    27796991     8300885       61526  libG4processes.so      [.] G4ICRU73QOModel::GetL2
      14773797    45674522     5296043       20213  libG4geometry.so       [.] G4Torus::CalculateExtent
      14238815    25183264     5812414       47743  libstdc++.so.6.0.30    [.] operator delete
      13945755    34737894     5928889       49275  libc.so.6              [.] __mpn_construct_double
      13899823     1648805     1001135       29210  [kernel.kallsyms]      [k] rmqueue
      13875481    47047334     6545030       70848  libxerces-c-3.2.so     [.] xercesc_3_2::AbstractDOMParser::startElement
      13871747    56828293    14905062        2441  libxerces-c-3.2.so     [.] xercesc_3_2::XMLUTF8Transcoder::transcodeFrom
      13859182    35046296     8288990      101938  libxerces-c-3.2.so     [.] xercesc_3_2::XMLReader::getNCName
      13853281    34093113     4203132       23939  libxerces-c-3.2.so     [.] xercesc_3_2::DOMAttrMapImpl::setNamedItemNSFast
      13791996     8113927      547047        4376  [kernel.kallsyms]      [k] __cgroup_throttle_swaprate
      13563779    28392988     2191071       25656  libG4processes.so      [.] G4MollerBhabhaModel::ComputeDEDXPerVolume
      12992886     7909503     2009466       30001  [kernel.kallsyms]      [k] __free_one_page
      12922659    37265903     5698883        7002  libicuuc.so.70.1       [.] u_strlen_70
      12888331    22990495     2683736        5312  libG4processes.so      [.] G4PairProductionRelModel::ComputeDXSectionPerAtom
      12844606    33556555     7123494        2505  libxerces-c-3.2.so     [.] xercesc_3_2::DOMCharacterDataImpl::DOMCharacterDataImpl
      12833360    21576350     4062711       34632  libG4geometry.so       [.] G4CutTubs::BoundingLimits
