id,cycles,instructions,l2_itlb_misses,l2_dtlb_misses
"all;g4run;libG4event;0x0000000000068d24",123591984,208560360,1952,9014
"all;g4run;libG4event;0x0000000000068ea2",7673112,9512299,1177,3482
"all;g4run;libG4event;0x0000000000068d7d",9074984,21385772,107,1188
"all;g4run;libG4event;0x0000000000069d67",1396850,0,0,145
"all;g4run;libG4event;0x0000000000068d28",252605264,447456814,4027,15910
"all;g4run;libG4event;0x000000000006a4a7",443748162,746669250,23039,157713
"all;g4run;libG4event;0x0000000000068ea6",13955537,13937467,1416,4216
"all;g4run;libG4event;0x000000000006a41a",0,0,57,0
"all;g4run;libG4event;0x0000000000068ea9",698081,2100138,39,84
"all;g4run;libG4event;0x0000000000069d83",7676844,5219560,587,2988
"all;g4run;libG4event;0x0000000000069dac",7677526,4370226,251,1513
"all;g4run;libG4event;0x000000000006a41d",17446563,23732199,510,9361
"all;g4run;libG4event;0x000000000006a41e",0,0,0,296
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::SetNewValue",2093556,2307045,219,900
"all;g4run;libG4event;0x0000000000069d87",30713416,35319562,2804,10375
"all;g4run;libG4event;0x0000000000068e3c",2790915,4290787,19,959
"all;g4run;libG4event;0x000000000006a400",697593,2226618,89,1662
"all;g4run;libG4event;0x000000000006a404",2089887,0,409,1192
"all;g4run;libG4event;0x0000000000068d83",10464434,14142545,502,2835
"all;g4run;libG4event;G4SPSRandomGenerator::GenRandPosTheta@plt",0,1195814,0,217
"all;g4run;libG4event;G4IonTable::GetIon@plt",26518924,51915093,807,4227
"all;g4run;libG4event;0x0000000000069db3",696718,3231382,0,237
"all;g4run;libG4event;0x0000000000068e24",17453436,24249309,1260,7386
"all;g4run;libG4event;std::unique_lock<std::mutex>::unlock",444543993,842477741,6949,24568
"all;g4run;libG4event;0x000000000006a427",698423,1041191,0,117
"all;g4run;libG4event;0x0000000000069db6",9073178,12867776,155,3429
"all;g4run;libG4event;0x0000000000068e40",1395863,1169826,37,183
"all;g4run;libG4event;0x0000000000068e28",6981869,28702363,717,4480
"all;g4run;libG4event;0x0000000000068e43",0,3074318,29,855
"all;g4run;libG4event;0x0000000000068e44",30703755,49639004,604,4879
"all;g4run;libG4event;G4EventManager::ProcessOneEvent",0,0,59,251
"all;g4run;libG4event;0x000000000006a49d",4181434,10428806,367,1328
"all;g4run;libG4vis_management",,,,
"all;g4run;libG4vis_management;G4VisCommandViewerList::SetNewValue",0,1026477,75,144
"all;g4run;libG4track",,,,
"all;g4run;libG4track;0x000000000000c61e",0,3313326,0,0
"all;g4run;libG4track;G4Track::G4Track",1041204939,1734961941,22657,155836
"all;g4run;libG4track;G4ParticleChangeForLoss::G4ParticleChangeForLoss",2791493,4116810,0,4071
"all;g4run;libG4track;G4Track::SetAuxiliaryTrackInformation",223302169,302072826,12157,78510
"all;g4run;libG4track;G4ParticleChange::CheckIt",13953625,9064511,7150,2743
"all;g4run;libG4track;G4VParticleChange::DumpInfo",568044691,824471379,15663,139533
"all;g4run;libG4track;G4Step::GetDeltaEnergy",588274773,926305195,10010,81811
"all;g4run;libG4track;_GLOBAL__sub_I_G4ParticleChangeForGamma.cc",1396748,2179276,539,649
"all;g4run;libG4track;0x00000000000116cf",16050377,15134539,64,948
"all;g4run;libG4track;G4ParticleChangeForLoss::operator=",288844037,451770687,6161,77923
"all;g4run;libG4track;0x000000000001155f",28610239,63058706,481,4624
"all;g4run;libG4track;0x00000000000137d6",46057890,73577091,3441,9312
"all;g4run;libG4track;G4VParticleChange::~G4VParticleChange",224726534,324532571,4585,24897
"all;g4run;libG4track;std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>",425718631,649083010,16543,110108
"all;g4run;libG4track;G4ParticleChangeForGamma::CheckIt",1396957,0,69,523
"all;g4run;libG4track;G4VelocityTable::GetVelocityTable",27919324,47737046,5375,7164
"all;g4run;libG4track;_GLOBAL__sub_I_G4StepPoint.cc",39074009,56128176,839,5392
"all;g4run;libG4track;G4VParticleChange::CheckIt",947669734,1424148144,25780,111238
"all;g4run;libG4track;std::vector<G4Track const*, std::allocator<G4Track const*> >::_M_realloc_insert<G4Track const* const&>",2807964375,3710147215,30934,257555
"all;g4run;libG4track;0x00000000000137d8",23720509,32050490,508,2953
"all;g4run;libG4track;0x00000000000101f8",696540,3188172,0,0
"all;g4run;libG4track;G4StepPoint::operator=",53738352,100515333,1034,12947
"all;g4run;libG4track;G4Step::GetSecondaryInCurrentStep",336415607,520882923,5109,58518
"all;g4run;libG4track;G4ParticleChangeForMSC::CheckIt",381041669,410867365,7161,12197
"all;g4run;libG4track;0x000000000000f3b4",14649710,14654267,225,9584
"all;g4run;libG4track;0x00000000000116c7",78865763,99642203,455,5159
"all;g4run;libG4track;G4ParticleChange::AddSecondary",0,0,0,64
"all;g4run;libG4track;G4ParticleChangeForMSC::DumpInfo",888646798,1065928394,21045,123433
"all;g4run;libG4track;G4ParticleChangeForGamma::DumpInfo",2787748,2230933,1054,1221
"all;g4run;libG4track;0x000000000000f483",4881629,2182800,266,560
"all;g4run;libG4track;0x00000000000101fa",16755341,12761450,107,893
"all;g4run;libG4track;0x00000000000137dc",2091646,5316423,52,185
"all;g4run;libG4track;G4ParticleChangeForMSC::Initialize",328734054,399166053,4584,13265
"all;g4run;libG4track;G4StepPoint::G4StepPoint",51643183,39915758,187,4961
"all;g4run;libG4track;0x000000000000c62c",2094518,4482769,0,515
"all;g4run;libG4track;0x00000000000116cb",18128342,14983324,179,1635
"all;g4run;libG4track;G4Step::G4Step",284052086,418798581,6084,25409
"all;g4run;libG4track;G4ParticleChange::DumpInfo",616201104,1092382612,35631,58332
"all;g4run;libG4digits_hits",,,,
"all;g4run;libG4digits_hits;G4VSensitiveDetector::G4VSensitiveDetector",0,4052538,1290,1154
"all;g4run;libG4digits_hits;G4VSensitiveDetector::Clone",20239272,21901915,2568,2773
"all;g4run;libG4digits_hits;G4VSensitiveDetector::~G4VSensitiveDetector",7819096935,12345007849,193184,1278566
"all;g4run;libG4geometry",,,,
"all;g4run;libG4geometry;0x00000000001818b9",1396915,6196017,33,136
"all;g4run;libG4geometry;G4ExtrudedSolid::StreamInfo",889162041,1381777519,23939,256334
"all;g4run;libG4geometry;0x00000000000f728d",4883324,7708497,194,630
"all;g4run;libG4geometry;0x000000000021226e",4181056,11594438,59,742
