id,instructions,uops_dispatched,uops_retired,de_dis_uop_queue_empty_di0,de_dis_uops_from_decoder_decoder_dispatched,de_dis_uops_from_decoder_opcache_dispatched
"all",,,,,,
"all;g4run",,,,,,
"all;g4run;libG4event;0x0000000000069d5a",11740184,6992793,13444558,1981170,10413128,1185156
"all;g4run;libG4event;G4AdjointStackingAction::ClassifyNewTrack",1811120,1264594,0,0,0,0
"all;g4run;libG4event;G4GeneralParticleSourceData::~G4GeneralParticleSourceData",579649425,686953516,726500692,44534662,488103425,149156089
"all;g4run;libG4event;0x000000000006a495",5391077,10993524,5882808,2004102,9062389,963828
"all;g4run;libG4event;0x0000000000069d7e",10801341,6102318,4803345,123912,5955207,1537318
"all;g4run;libG4event;0x0000000000069d40",11440237,19129690,20922639,5812032,19913766,279711
"all;g4run;libG4event;0x0000000000069d41",5256762,11013652,7969548,1372053,9229926,288243
"all;g4run;libG4event;0x000000000006a499",66835097,93635969,72373057,18376141,73852243,9121581
"all;g4run;libG4event;0x0000000000069d44",12882046,6502185,8730404,1766721,9665117,441826
"all;g4run;libG4event;0x0000000000069d46",10755743,6154672,3650063,986417,4504428,1099301
"all;g4run;libG4event;0x0000000000068d20",325988762,360999534,387690591,23532257,306063116,77579436
"all;g4run;libG4event;0x0000000000068ea0",0,1192277,1147233,291218,891981,0
"all;g4run;libG4event;0x0000000000069d48",1049198,0,0,0,0,0
"all;g4run;libG4event;0x0000000000069d9f",1128486,0,1154508,286478,2365268,0
"all;g4run;libG4event;0x0000000000069d63",0,0,0,0,937155,0
"all;g4run;libG4event;0x0000000000068d24",140285121,139046813,165092505,7138743,126084100,24987455
"all;g4run;libG4event;0x0000000000068ea2",7490742,11419130,2502762,3002399,13765668,1168891
"all;g4run;libG4event;0x0000000000068d7d",10864034,26827936,19586524,1279663,11434141,3500643
"all;g4run;libG4event;0x0000000000069d67",0,0,0,103477,0,0
"all;g4run;libG4event;0x0000000000068d28",321720722,329566499,396256106,17174187,282691364,72468209
"all;g4run;libG4event;0x000000000006a4a7",433957674,569391626,483335691,73952140,491174164,62834341
"all;g4run;libG4event;0x0000000000068ea6",14482897,12156719,8928385,1576374,7073456,3123071
"all;g4run;libG4event;0x000000000006a41a",0,0,1234786,0,0,0
"all;g4run;libG4event;0x0000000000068ea9",2198872,2526445,1117773,133306,740266,0
"all;g4run;libG4event;0x0000000000069d83",3162053,0,6977354,848752,1770822,666916
"all;g4run;libG4event;0x0000000000069dac",9696258,4770730,9444496,1287979,3842897,844899
"all;g4run;libG4event;0x000000000006a41d",19246944,20735173,20112114,3837808,23986584,1508353
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::SetNewValue",0,2550395,6358759,331237,3792810,1020687
"all;g4run;libG4event;0x0000000000069d87",35096888,49484720,35415940,9286458,32870755,4917737
"all;g4run;libG4event;0x0000000000068e3c",5700721,2404115,2372009,772576,2563417,261499
"all;g4run;libG4event;0x000000000006a400",2091604,2421500,3588280,1241805,2471911,0
"all;g4run;libG4event;0x000000000006a404",1187594,0,1329017,989414,3330041,569661
"all;g4run;libG4event;0x0000000000068d83",12962891,13780049,14997058,1546236,17616315,3549042
"all;g4run;libG4event;G4SPSRandomGenerator::GenRandPosTheta@plt",0,1201179,0,0,919140,0
"all;g4run;libG4event;G4IonTable::GetIon@plt",26444048,31782902,26247197,4094574,29384670,3811861
