id,instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses
"all;g4run;libG4clhep;CLHEP::HepLorentzRotation::rotateZ",2774207576,1939952951,110024433,27105116
"all;g4run;libG4clhep;CLHEP::HepRandom::getTheEngine",17895460309,10950483171,817652336,89355562
"all;g4run;libG4clhep;CLHEP::HepRotation::delta",1850659,0,9679,0
"all;g4run;libG4clhep;CLHEP::RandFlat::shootArray",853513,0,0,21787
"all;g4run;libG4clhep;0x00000000000263e4",0,623119,0,0
"all;g4run;libG4clhep;CLHEP::HepRotation::rotateZ",0,0,0,7653
"all;g4run;libG4clhep;CLHEP::HepRotation::rectify",5763418,841653,0,34697
"all;g4run;libG4clhep;CLHEP::RandGamma::genGamma",47128329,41420697,4054939,1224640
"all;g4run;libG4clhep;0x00000000000264a0",509324241,357931072,31217099,3040977
"all;g4run;libG4clhep;CLHEP::HepRotation::rotateAxes",6334685,2212222,42582,17818
"all;g4run;libG4clhep;CLHEP::Hep3Vector::rotateUz",20239009608,11828816716,894271307,124654629
"all;g4run;libG4clhep;CLHEP::Hep3Vector::cosTheta",0,655822,0,4878
"all;g4run;libG4clhep;CLHEP::MixMaxRng::modadd",8994370165,5722688046,508150917,60683515
"all;g4run;libG4clhep;CLHEP::RandGaussQ::transformSmall",887629,1137522,100071,8214
"all;g4run;libG4clhep;0x00000000000264a4",575110591,378552681,33118452,4106394
"all;g4run;libG4clhep;HepTool::Evaluator::status",5747100,804869,14876,7964
"all;g4run;libG4clhep;0x0000000000025760",0,0,51931,9318
"all;g4run;libG4clhep;CLHEP::Hep3Vector::operator/=",0,507994,0,5340
"all;g4run;libG4clhep;0x0000000000025764",887168,604397,48480,30274
"all;g4run;libG4clhep;0x0000000000026610",0,0,39247,0
"all;g4run;libG4clhep;0x0000000000026400",1286619690,894105878,101227409,8785539
"all;g4run;libG4clhep;0x0000000000026614",12286059,10893028,898685,85306
"all;g4run;libG4clhep;0x0000000000025fa4",0,0,87857,10897
"all;g4run;libG4clhep;CLHEP::MixMaxRng::apply_bigskip",1883384,173036,0,0
"all;g4run;libG4clhep;0x00000000000254c0",16998000,8169465,443593,85255
"all;g4run;libG4clhep;0x0000000000026404",630454062,456942404,51898504,4832908
"all;g4run;libG4clhep;0x00000000000254c4",142776320,98401476,6593012,1398550
"all;g4run;libG4clhep;0x0000000000025364",0,0,0,3933
"all;g4run;libG4clhep;CLHEP::operator/",202761844,129505318,4797928,2507193
"all;g4run;libG4clhep;CLHEP::HepRotation::axis",1954673,1673841,0,8801
