id,cycles,ex_div_busy,ex_div_count
"all;g4run;libG4geometry;G4ReflectedSolid::~G4ReflectedSolid",6974681,0,0
"all;g4run;libG4geometry;G4Box::SetZHalfLength",8373688,571,0
"all;g4run;libG4geometry;G4MagErrorStepper::Stepper",1275338726,44973,5532
"all;g4run;libG4geometry;0x00000000001c9d86",698395,0,0
"all;g4run;libG4geometry;G4BooleanSolid::GetCubicVolume",698402,0,0
"all;g4run;libG4geometry;G4CutTubs::GetCutZ",4886305,0,0
"all;g4run;libG4geometry;G4Tubs::operator=",16745743,261,228
"all;g4run;libG4geometry;G4PolyhedraSide::DistanceToOneSide",32108607,249,0
"all;g4run;libG4geometry;0x00000000001f840f",20944371,499,59
"all;g4run;libG4geometry;G4PolyPhiFace::Intersect",244988880,8878,1585
"all;g4run;libG4geometry;G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord",1405186102,68793,5335
"all;g4run;libG4geometry;G4PolyconeSide::CalculateExtent",6086163827,238048,27144
"all;g4run;libG4geometry;0x00000000001818b9",696838,0,0
"all;g4run;libG4geometry;0x00000000001c22d7",1396548,0,0
"all;g4run;libG4geometry;G4CutTubs::DistanceToOut",9067730,0,23
"all;g4run;libG4geometry;G4PropagatorInField::ComputeStep",3699612351,170743,18938
"all;g4run;libG4geometry;0x00000000001c395e",696541,0,0
"all;g4run;libG4geometry;G4Navigator::RestoreSavedState@plt",1396326,0,0
"all;g4run;libG4geometry;0x00000000001870c8",4884162,0,17
"all;g4run;libG4geometry;G4TessellatedSolid::~G4TessellatedSolid@plt",23727035,537,89
"all;g4run;libG4geometry;std::vector<G4LogicalSkinSurface*, std::allocator<G4LogicalSkinSurface*> >::_M_realloc_insert<G4LogicalSkinSurface*>",219163326,6715,1413
"all;g4run;libG4geometry;G4Paraboloid::SurfaceNormal",481151478,28408,2257
"all;g4run;libG4geometry;0x000000000016167d",9074043,1459,3726
"all;g4run;libG4geometry;G4DisplacedSolid::GetObjectTranslation",13960707,0,123
"all;g4run;libG4geometry;G4Box::SetXHalfLength",2009352210,92097,7716
"all;g4run;libG4geometry;0x0000000000163039",1396736,0,0
"all;g4run;libG4geometry;G4Trap::CheckParameters",2093415,0,0
"all;g4run;libG4geometry;0x00000000000f728d",4185123,84,0
"all;g4run;libG4geometry;G4BooleanSolid::GetListOfPrimitives",21176118,1629,76
"all;g4run;libG4geometry;G4LogicalSkinSurface::~G4LogicalSkinSurface",212886559,11093,1250
"all;g4run;libG4geometry;0x0000000000193f0e",2094277,0,0
