cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys,comm,dso,symbol
981644186,1252471602,493432900,90178817,74538523,12845051,"g4run","libstdc++.so.6.0.30","__cxxabiv1::__si_class_type_info::__do_dyncast"
955418550,1328244695,495016096,21696585,116610638,8403103,"g4run","libG4processes.so","G4NeutronInelasticXS::Initialise"
954856023,1568542108,479120369,38175722,109500980,7044134,"g4run","libG4processes.so","G4CascadeParameters::DumpConfig"
935181706,1461816363,492450999,33850716,72165976,10186588,"g4run","libG4processes.so","G4IntraNucleiCascader::collide"
930465475,1409476836,477958381,40163120,128621509,5199977,"g4run","libG4processes.so","G4NucleiModel::~G4NucleiModel"
921577365,1500380309,452541269,9990798,283576333,9007249,"g4run","libG4geometry.so","G4Navigator::LocateGlobalPointAndSetup"
918931611,1363118304,499543979,24796488,265160949,3161262,"g4run","libG4geometry.so","G4VoxelNavigation::LevelLocate"
908179160,1488779324,444657367,21263744,229763026,8047194,"g4run","libG4particles.so","G4NucleiProperties::GetNuclearMass"
900793388,1156441283,587180643,12643573,426736735,20407713,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
866061063,1344004613,424810751,14046777,93871137,9169736,"g4run","libG4processes.so","G4ScoreSplittingProcess::Verbose"
865261633,1224515368,490829721,13457829,243676937,5018807,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::flatArray"
859147755,1044271702,449528120,13163633,139192890,8642976,"g4run","libG4track.so","G4ParticleChangeForMSC::DumpInfo"
849151688,1237398856,485163462,19588120,229928782,6466090,"g4run","libG4geometry.so","G4MultiLevelLocator::EstimateIntersectionPoint"
845812197,1230307889,460639808,11685228,214824543,4662487,"g4run","libG4processes.so","G4SBBremTable::SampleEnergyTransfer"
843156066,1171184745,422567407,24111166,109141474,4590961,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited"
824180172,1214781966,421626157,8681427,183321487,9655250,"g4run","libG4track.so","G4VParticleChange::CheckIt"
820592798,1235802559,450571773,19630014,177639425,5040951,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::MULWU"
810657281,1746795805,475124266,13645090,374412801,4207379,"g4run","libm.so.6","__ieee754_pow_fma"
809423502,1289540899,368577367,16138028,107566106,1610347,"g4run","libG4geometry.so","G4PolyhedraSide::DistanceAway"
807334902,989030039,406932632,15308854,109499697,8248585,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
806923053,1353292354,401969901,20170648,149030625,8347826,"g4run","libG4processes.so","G4CascadeInterface::Propagate"
805252566,1181477124,410777490,10674638,141428416,5508901,"g4run","libG4geometry.so","field_utils::relativeError2"
801772431,1307925141,449234680,17695114,239317518,4063434,"g4run","libG4geometry.so","G4ReflectionFactory::Place"
792695382,1381667299,393851234,24116740,49053642,1277618,"g4run","libG4processes.so","G4MultiBodyMomentumDist::G4MultiBodyMomentumDist"
792321184,1141244317,397503352,25245602,78878113,4163467,"g4run","libG4processes.so","G4IntraNucleiCascader::copySecondaries"
774746652,1161012519,399062662,11193851,188695193,9365915,"g4run","libG4event.so","G4GeneralParticleSource::ListSource"
774550433,1401880577,385298207,6752377,219966962,3033199,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
766763820,987497235,367514214,15881410,122288990,5804791,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
764731729,1109287558,397490386,17923373,147660429,4294404,"g4run","libCLHEP-2.4.5.3.so","CLHEP::MixMaxRng::modadd"
758127927,1023403394,424872958,13504348,178471098,5144665,"g4run","libG4track.so","G4StepPoint::G4StepPoint"
756987402,1193222039,381216794,14300310,146818336,3282614,"g4run","libG4geometry.so","G4PolyPhiFace::Triangulate"
744526140,964335492,401855812,12132573,198097868,4686981,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::G4ParallelWorldScoringProcess"
731946744,1001141648,336922730,17409656,165788810,4593577,"g4run","libG4processes.so","G4LossTableManager::PreparePhysicsTable"
712405155,1080717006,390056289,18507589,180923264,3753515,"g4run","libG4processes.so","G4LivermoreBremsstrahlungModel::ComputeDXSectionPerAtom"
711725989,1028678809,382307862,70450268,62895350,9546261,"g4run","libc.so.6","__strcmp_avx2"
711673078,990362784,375983279,20989890,74800214,3778799,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
705455131,936664156,339441825,18053723,96923640,5329365,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::CopyStep"
679011742,811128876,333485034,14715119,104768710,9879450,"g4run","libG4processes.so","G4PAIySection::G4PAIySection"
678208564,1164468780,367696796,30442105,59632671,1914439,"g4run","libG4processes.so","G4CacheReference<G4MultiBodyMomentumDist*>::Destroy"
669803625,1121901137,362800742,13173467,191432188,5241596,"g4run","libG4geometry.so","G4ParameterisedNavigation::LocateNextVoxel"
661646004,957480323,313551647,11586294,140543821,4727956,"g4run","libG4geometry.so","G4PVParameterised::CheckOverlaps"
644732655,796447819,318579683,12829004,87262838,6354938,"g4run","libG4global.so","G4PhysicsVector::Retrieve"
640626073,921041220,293677216,20837527,91847978,2566558,"g4run","libG4processes.so","G4CascadeFinalStateAlgorithm::GenerateCosTheta"
638784533,924021347,322195719,6687537,153610416,3734959,"g4run","libG4processes.so","G4PEEffectFluoModel::G4PEEffectFluoModel"
630791340,1224834948,306422065,21814831,117606855,3443845,"g4run","libG4processes.so","G4NucleiModel::G4NucleiModel"
621797412,907260338,301881009,15055450,66725304,2917086,"g4run","libG4geometry.so","G4FieldManager::G4FieldManager"
620985533,879339990,316645079,10713756,113523252,4043080,"g4run","libG4tracking.so","0x000000000002f809"
604215554,1127638128,329707347,3490822,206275401,2438886,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::operator="
598675214,894471670,399997921,88190567,121634960,3689699,"g4run","libm.so.6","__ieee754_acos_fma"
595844395,824550957,308820341,13112761,110679749,4120118,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetChargeExchangeCrossSection"
595193072,734565446,314909791,36404208,49042512,11554252,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeNNChannelData, G4PionNucSampler>::getMultiplicity"
595182313,744060021,280036998,18794660,118152275,4592764,"g4run","libG4processes.so","G4LinLogLogInterpolation::Calculate"
574248094,739079897,291275173,11630127,65597008,3380483,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetInelasticElementCrossSection"
570771239,823461203,308199969,8327522,99564198,3538063,"g4run","libG4geometry.so","G4FSALBogackiShampine45::Stepper"
569969782,885016568,288971344,13402762,122390908,2681727,"g4run","libG4geometry.so","G4NormalNavigation::G4NormalNavigation"
568640117,817801286,274363316,11820507,77268447,2567861,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
567983987,952007798,303774247,32178314,66144153,4585992,"g4run","libG4processes.so","G4IntraNucleiCascader::finalize"
565663759,855197694,308310613,12432322,69793094,4484576,"g4run","libG4processes.so","G4ProcessManager::RemoveProcess"
562377977,909148490,309701242,12012910,203919570,4416929,"g4run","libG4particles.so","G4NuclideTable::GetIsotope"
557454003,904944962,273998765,9550314,64641140,7835640,"g4run","libG4geometry.so","G4FieldManagerStore::DeRegister"
551246024,832896825,292286454,8320305,103274715,2384479,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
550032295,718125770,290318319,25582327,105926750,2310150,"g4run","libG4processes.so","G4InuclNuclei::setExitationEnergy"
545657234,769977980,261913038,9651878,62360545,5048379,"g4run","libG4processes.so","std::vector<G4Material const*, std::allocator<G4Material const*> >::_M_realloc_insert<G4Material const*>"
