cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far,comm,dso,symbol
489787163,110220040,1399065,77521632,817529,7210,"g4run","libG4processes.so","G4IntraNucleiCascader::rescatter"
489218998,137700472,1245474,87997595,777265,9045,"g4run","libG4geometry.so","G4FieldManager::G4FieldManager"
488009328,115664820,1536941,71236140,1079652,7556,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::ReadDataFile"
487007982,109348327,1960334,73003947,1238521,7719,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::getMultiplicity"
485606525,108573904,576680,69132916,373422,6481,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::operator="
484845096,124398648,1232074,84422377,744697,8291,"g4run","libG4tracking.so","0x000000000002f81c"
484844889,109476900,1685226,74446991,945473,7409,"g4run","libG4geometry.so","G4ReflectionFactory::Place"
483841479,119325618,1417926,74814320,836668,7821,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
478264322,112140269,1065216,76327908,654664,6220,"g4run","libG4geometry.so","G4FieldManagerStore::DeRegister"
477250125,128590242,1849688,86954450,1015483,8657,"g4run","libG4geometry.so","G4Paraboloid::Clone"
475812079,92489147,989693,71456016,686073,6175,"g4run","libG4processes.so","G4OpticalParameters::StreamInfo"
470210027,105243155,1465061,69526961,848706,7281,"g4run","libG4geometry.so","G4PolyconeSide::DistanceAway"
469525249,125458260,1341615,81698869,733297,6773,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscVU"
465981310,126035471,1093668,81592180,757031,6759,"g4run","libG4geometry.so","G4IntegrationDriver<G4MagIntegratorStepper>::OneGoodStep"
465358261,95271850,2447808,65318394,1399303,7879,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
453481976,61316946,1999775,26538803,1292914,7632,"g4run","libG4processes.so","G4LorentzConvertor::toTheCenterOfMass"
447213931,122728326,2302608,82037243,1343576,7719,"g4run","libG4geometry.so","G4PolyhedraSide::Normal"
443742081,104094695,1327583,62486527,777847,6216,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetInelasticIsotopeCrossSection"
438139097,89536031,1150524,52359781,675146,5856,"g4run","libG4processes.so","G4PEEffectFluoModel::G4PEEffectFluoModel"
437675506,107703546,1539812,66772963,943429,7100,"g4run","libG4processes.so","G4LossTableManager::GetEnergyLossProcess"
431912633,103146852,896478,71534682,582316,7188,"g4run","libG4geometry.so","operator<<"
420126641,89761317,1511711,67099125,947875,7237,"g4run","libc.so.6","__strcmp_avx2"
420044980,119059681,1380813,70189922,803130,6579,"g4run","libG4processes.so","G4NucleiModel::~G4NucleiModel"
416504609,92810485,1438944,65341823,818985,6121,"g4run","libG4processes.so","G4CascadeInterface::Propagate"
415829619,106509131,1039214,68134903,638718,6351,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::SetParallelWorld"
411950730,108101813,642555,68200822,524176,5643,"g4run","libG4processes.so","G4NucleiModel::G4NucleiModel"
