cycles,ex_div_busy,ex_div_count,comm,dso,symbol
165425919,5435,530,"g4run","libG4geometry.so","G4PropagatorInField::ClearPropagatorState"
164726692,16964,546,"g4run","libG4processes.so","G4CascadeCheckBalance::collide"
163342600,4872,1328,"g4run","libG4tracking.so","G4NoProcess::~G4NoProcess"
162627694,4209,308,"g4run","libG4geometry.so","G4LogicalSurface::~G4LogicalSurface"
162275956,5653,885,"g4run","libG4processes.so","G4LorentzConvertor::G4LorentzConvertor"
161951851,2496,297,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroBarNChannelData, G4KaonSampler>::printTable"
159839310,5753,823,"g4run","libG4processes.so","G4RKPropagation::delete_FieldsAndMap"
158434789,5319,504,"g4run","libG4global.so","G4Physics2DVector::CopyData"
157735412,6311,361,"g4run","libG4processes.so","G4CascadeCheckBalance::momentumOkay"
157224023,5239,775,"g4run","libG4processes.so","G4CascadeCoalescence::FindClusters"
157046158,20382,2715,"g4run","libG4particles.so","G4DynamicParticle::SetMomentum"
155650945,4367,501,"g4run","libG4processes.so","G4ScreeningMottCrossSection::FormFactor2Gauss"
154260834,5041,264,"g4run","libG4processes.so","G4PAIySection::RePartDielectricConst"
154257488,5185,754,"g4run","libG4processes.so","G4PairProductionRelModel::Initialise"
152871714,4896,706,"g4run","libG4processes.so","G4NIELCalculator::G4NIELCalculator"
150737156,2602,239,"g4run","libG4geometry.so","G4Box::DistanceToIn"
148668997,4142,581,"g4run","libG4processes.so","G4NuclNuclDiffuseElastic::Initialise"
147274892,2395,2544,"g4run","libG4processes.so","G4CascadeRecoilMaker::~G4CascadeRecoilMaker"
146584510,5087,255,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::_M_fill_insert"
146566812,6773,528,"g4run","libG4processes.so","G4RToEConvForGamma::ComputeValue"
145177118,9653,1665,"g4run","libG4track.so","G4VParticleChange::~G4VParticleChange"
144478983,5503,526,"g4run","libG4processes.so","G4NuclNucl3BodyAngDst::G4NuclNucl3BodyAngDst"
142390567,7384,1892,"g4run","libG4geometry.so","0x0000000000103cef"
141682781,2168,779,"g4run","libG4processes.so","G4SBBremTable::ReadCompressedFile"
141001645,3569,517,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
140996383,3232,642,"g4run","libG4processes.so","G4HETCFragment::G4HETCFragment@plt"
139603473,6187,4382,"g4run","libG4geometry.so","G4FieldTrack::SetChargeAndMoments"
138903846,3186,630,"g4run","libG4tracking.so","G4Allocator<G4TouchableHistory>::~G4Allocator"
137515768,3671,260,"g4run","libG4processes.so","G4RKPropagation::~G4RKPropagation"
137498920,10400,882,"g4run","libG4geometry.so","0x0000000000103d38"
136934709,5354,504,"g4run","libG4processes.so","G4CascadeDeexciteBase::getTargetData"
136818941,5020,584,"g4run","libG4processes.so","G4PionMinusField::~G4PionMinusField@plt"
134706552,5952,344,"g4run","libG4particles.so","G4ParticleDefinition::operator!="
134029252,10442,1081,"g4run","libG4particles.so","G4ChargedGeantino::Definition"
133326859,2197,161,"g4run","libG4processes.so","G4HadronXSDataTable::Initialise"
133305611,3278,1022,"g4run","libG4geometry.so","G4Tubs::G4Tubs"
131910502,10291,284,"g4run","libG4processes.so","G4ParticleHPNHe3InelasticFS::G4ParticleHPNHe3InelasticFS@plt"
131209766,8605,148,"g4run","libG4geometry.so","G4ReflectionFactory::ReflectPVReplica"
130528842,4392,759,"g4run","libG4processes.so","G4SBBremTable::LinSearch"
129182908,8371,1207,"g4run","libG4particles.so","G4IonTable::FindIon"
129129959,3790,1905,"g4run","libm.so.6","__acos"
128447474,4927,369,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::operator*="
128415086,26074,4036,"g4run","libG4particles.so","G4IonTable::GetIon"
127734711,6845,1699,"g4run","libG4processes.so","G4CascadeData<31, 3, 18, 53, 2, 2, 2, 0, 0>::print"
127719715,2697,432,"g4run","libG4processes.so","G4OpticalParametersMessenger::~G4OpticalParametersMessenger"
127038310,2270,683,"g4run","libCLHEP-2.4.5.3.so","CLHEP::Hep3Vector::setSpherical"
126351486,1971,927,"g4run","libG4geometry.so","G4PolyhedraSide::SurfaceTriangle"
126331142,65674,11629,"g4run","libG4processes.so","G4CollisionOutput::getTotalBaryonNumber"
125944089,4542,359,"g4run","libG4geometry.so","G4LogicalCrystalVolume::G4LogicalCrystalVolume"
125642505,2209,342,"g4run","libG4track.so","G4ParticleChangeForLoss::G4ParticleChangeForLoss"
124221299,4031,267,"g4run","libG4processes.so","__tcf_1"
123523176,6153,169,"g4run","libG4geometry.so","G4Tet::Initialize@plt"
122842146,2688,318,"g4run","libG4processes.so","G4LivermoreComptonModel::SampleSecondaries"
122832258,4565,615,"g4run","libG4event.so","std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert"
120762441,4648,844,"g4run","libG4processes.so","G4ThreadLocalSingleton<G4CascadeParameters>::G4ThreadLocalSingleton"
120056860,52586,4919,"g4run","libG4global.so","G4Pow::G4Pow"
119360741,3639,543,"g4run","libG4geometry.so","__cxa_atexit@plt"
119355641,2771,1089,"g4run","libG4processes.so","G4eBremParametrizedModel::SampleSecondaries"
119353807,4232,374,"g4run","libG4processes.so","G4ComponentAntiNuclNuclearXS::GetTotalElementCrossSection"
117966645,4990,736,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroNChannelData, G4KaonSampler>::printTable"
117265838,4929,301,"g4run","libG4geometry.so","G4ChordFinder::ApproxCurvePointS"
117263621,5422,34,"g4run","libG4processes.so","G4PAIxSection::Initialize"
117256381,6722,381,"g4run","libG4geometry.so","G4MultiUnion::StreamInfo"
