cycles_ukP,comm,dso,symbol
298426616,"g4run","libG4processes.so","std::vector<G4InuclNuclei, std::allocator<G4InuclNuclei> >::_M_realloc_insert<G4InuclNuclei const&>"
289088709,"g4run","libG4geometry.so","field_utils::relativeError@plt"
287687585,"g4run","libG4processes.so","G4SBBremTable::BuildSamplingTables"
287685559,"g4run","libG4processes.so","std::vector<G4InuclElementaryParticle, std::allocator<G4InuclElementaryParticle> >::~vector"
284191842,"g4run","libG4processes.so","G4OpticalParameters::StreamInfo"
283510488,"g4run","libG4geometry.so","G4RKIntegrationDriver<G4DormandPrince745>::ComputeNewStepSize"
280695650,"g4run","libG4geometry.so","std::vector<G4LogicalSkinSurface*, std::allocator<G4LogicalSkinSurface*> >::_M_realloc_insert<G4LogicalSkinSurface*>"
279787354,"g4run","libG4processes.so","G4ComponentSAIDTotalXS::GetInelasticIsotopeCrossSection"
274475235,"g4run","libG4processes.so","G4ParallelWorldScoringProcess::IsAtRestRequired"
273725607,"g4run","libG4global.so","G4Physics2DVector::BicubicInterpolation"
273725541,"g4run","libG4geometry.so","G4FieldManagerStore::DeRegister"
271628513,"g4run","libG4processes.so","G4InitXscPAI::~G4InitXscPAI"
268088137,"g4run","libG4processes.so","G4ElasticHadrNucleusHE::GetLightFq2"
267469976,"g4run","libG4processes.so","G4LossTableManager::GetEnergyLossProcess"
263250568,"g4run","libG4processes.so","G4VEmProcess::PostStepDoIt"
262556112,"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKminusPChannelData, G4KaonSampler>::printTable"
260517509,"g4run","libG4processes.so","G4ChipsKaonMinusElasticXS::GetPTables"
260107262,"g4run","libG4geometry.so","G4MultiUnion::StreamInfo"
259757350,"g4run","libG4processes.so","std::_Rb_tree<G4MoleculeDefinition const*, std::pair<G4MoleculeDefinition const* const, double>, std::_Select1st<std::pair<G4MoleculeDefinition const* const, double> >, std::less<G4MoleculeDefinition const*>, std::allocator<std::pair<G4MoleculeDefinition const* const, double> > >::_M_erase"
259754093,"g4run","libG4processes.so","G4CascadeData<30, 1, 6, 16, 29, 42, 54, 41, 47>::print"
259059195,"g4run","libG4geometry.so","G4LogicalVolume::~G4LogicalVolume"
257659810,"g4run","libG4processes.so","G4NonEquilibriumEvaporator::deExcite"
254877410,"g4run","libG4geometry.so","G4IntegrationDriver<G4MagIntegratorStepper>::OneGoodStep"
249525909,"g4run","libG4particles.so","G4NucleiPropertiesTheoreticalTable::GetNuclearMass"
247887799,"g4run","libG4geometry.so","operator<<"
246481668,"g4run","libG4processes.so","G4GeneralPhaseSpaceDecay::G4GeneralPhaseSpaceDecay"
244397489,"g4run","libG4particles.so","G4DynamicParticle::G4DynamicParticle"
241615325,"g4run","libG4geometry.so","G4MultiUnion::DistanceToIn"
238815991,"g4run","libG4geometry.so","__cxa_atexit@plt"
233221727,"g4run","libG4geometry.so","std::_Rb_tree<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*>, std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*>, std::_Select1st<std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*> >, std::less<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> >, std::allocator<std::pair<std::pair<G4VPhysicalVolume const*, G4VPhysicalVolume const*> const, G4LogicalBorderSurface*> > >::_M_erase"
232824668,"g4run","libG4processes.so","G4PenelopeRayleighModelMI::ReadDataFile"
232806175,"g4run","libG4track.so","G4VParticleChange::DumpInfo"
232643275,"g4run","libG4processes.so","G4PairProductionRelModel::ComputeLPMGsPhis"
231140661,"g4run","libG4processes.so","G4PairProductionRelModel::G4PairProductionRelModel"
229551179,"g4run","libG4processes.so","G4NuclearPolarization::operator=="
227644579,"g4run","libG4geometry.so","G4SimpleLocator::EstimateIntersectionPoint"
227638282,"g4run","libG4particles.so","G4IonTable::GetIon"
226244773,"g4run","libG4processes.so","std::vector<unsigned long, std::allocator<unsigned long> >::operator="
226236649,"g4run","libG4event.so","G4GeneralParticleSourceData::~G4GeneralParticleSourceData"
224836363,"g4run","libG4processes.so","G4Fancy3DNucleus::ReduceSum"
223451513,"g4run","libG4processes.so","G4IntraNucleiCascader::decayTrappedParticle"
222767021,"g4run","libG4geometry.so","G4LogicalSkinSurface::~G4LogicalSkinSurface"
