id,cycles,ex_ret_brn,ex_ret_brn_misp,ex_ret_brn_tkn,ex_ret_brn_tkn_misp,ex_ret_brn_far
"all;g4run;libG4track;G4VParticleChange::AddSecondary",339026185,64690828,1283564,45950683,789903,5150
"all;g4run;libG4track;G4ParticleChangeForTransport::UpdateStepForAlongStep",3052067404,715242589,7194710,458328292,4420231,42684
"all;g4run;libG4track;G4StepPoint::operator=",855238394,195243405,2088121,132948207,1379351,11468
"all;g4run;libG4track;G4DynamicParticle::~G4DynamicParticle@plt",0,360771,0,124960,887,58
"all;g4run;libG4track;pDynamicParticleAllocator@plt",6970392,1693267,8969,647684,10551,81
"all;g4run;libG4track;G4ParticleChange::AddSecondary",15346986,1908732,28529,718237,37842,96
"all;g4run;libG4track;G4ParticleChangeForMSC::UpdateStepForAlongStep",243527951,48656737,442651,30858343,322106,3148
"all;g4run;libG4track;G4ParticleChangeForLoss::UpdateStepForPostStep",215733487,43077821,1288276,35229304,710493,3877
"all;g4run;libG4track;G4ParticleChangeForGamma::UpdateStepForAtRest",18143360,3727648,118261,1960595,107530,479
"all;g4run;libG4track;G4ParticleChangeForLoss::UpdateStepForAlongStep",921732904,172086560,2754413,109708106,1700191,12580
"all;g4run;libG4track;G4Track::ClearAuxiliaryTrackInformation",97664615,16823416,273620,9615175,160378,1632
"all;g4run;libG4track;G4ParticleChange::UpdateStepForPostStep",485547667,115533250,993063,76578918,551624,6951
"all;g4run;libG4digits_hits",,,,,,
"all;g4run;libG4digits_hits;G4TouchableHistory::UpdateYourself",697912,140183,2480,0,1476,20
"all;g4run;libG4digits_hits;G4TouchableHistory::GetVolume",6346412263,1576311406,17248886,1011483313,10419362,102773
"all;g4run;libG4geometry",,,,,,
"all;g4run;libG4geometry;G4NormalNavigation::LevelLocate@plt",6274953,1099923,1847,1007559,0,80
"all;g4run;libG4geometry;G4DisplacedSolid::SurfaceNormal",8373191,2609074,45837,1366108,25703,217
"all;g4run;libG4geometry;G4Cons::Inside",48133639,11673945,150697,5750187,118701,580
"all;g4run;libG4geometry;G4PolyPhiFace::InsideEdgesExact",374702521,109262662,1787532,71182004,1144195,6123
"all;g4run;libG4geometry;G4PVPlacement::GetRegularStructureId",403196352,99595290,1031170,60258140,675667,5940
"all;g4run;libG4geometry;G4JTPolynomialSolver::FindRoots@plt",0,0,0,0,1586,0
"all;g4run;libG4geometry;G4MagInt_Driver::AccurateAdvance",696758,0,0,0,0,0
"all;g4run;libG4geometry;HepGeom::operator*@plt",1394349,0,0,0,1182,20
"all;g4run;libG4geometry;G4VIntersectionLocator::GetLastSurfaceNormal",90661245,21389928,187966,11839003,127905,1103
"all;g4run;libG4geometry;G4Navigator::ComputeStep",6479001270,1579751107,18332740,1021080806,11350155,105221
"all;g4run;libG4geometry;G4CutTubs::SurfaceNormal",698338,150844,0,0,2520,0
"all;g4run;libG4geometry;G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::ComputeNewStepSize@plt",698442,169242,1422,0,0,0
"all;g4run;libG4geometry;G4LogicalVolume::GetSolid@plt",5581794,2319356,26174,985421,9005,58
"all;g4run;libG4geometry;G4VIntersectionLocator::IntersectChord",42560233,7696385,101153,8249008,64976,588
"all;g4run;libG4geometry;G4VoxelSafety::SafetyForVoxelHeader",380180155,81649347,1101585,51594630,635730,5050
"all;g4run;libG4geometry;G4FieldTrack::G4FieldTrack",13960104,2891006,34966,2143866,15830,135
"all;g4run;libG4geometry;G4Navigator::RestoreSavedState",240020461,60142952,478704,40237310,296628,4671
"all;g4run;libG4geometry;G4VoxelNavigation::ComputeVoxelSafety",503598135,120224176,1626962,76806666,997967,8301
"all;g4run;libG4geometry;G4PolyconeSide::PointOnCone",4147575624,1089537129,15618163,682438992,8461973,71203
"all;g4run;libG4geometry;G4LineSection::G4LineSection@plt",694965,835154,14443,141081,1210,80
"all;g4run;libG4geometry;G4PropagatorInField::FindAndSetFieldManager",630703542,186238654,1663146,115168353,1058506,11591
"all;g4run;libG4geometry;aNavigLevelRepAllocator",201624993,46303385,714637,28843105,392776,3045
"all;g4run;libG4geometry;G4SubtractionSolid::DistanceToIn",154888399,55660851,599596,33939762,344919,2566
"all;g4run;libG4geometry;G4LogicalVolume::GetMaterial",1151175657,274319848,2988858,180480305,1877279,17449
"all;g4run;libG4geometry;G4PolyconeSide::GetPhi",119272958,27072032,637161,16974762,326863,2364
"all;g4run;libG4geometry;G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited",990346184,256075529,2438648,160037011,1688079,16159
"all;g4run;libG4geometry;G4NormalNavigation::LevelLocate",1142724041,280873701,3832604,184444701,2274953,18289
"all;g4run;libG4geometry;G4IntersectionSolid::Inside",110942205,30467692,407725,19239606,180143,2060
"all;g4run;libG4geometry;G4IntersectingCone::HitOn@plt",698352,149398,3516,404112,6154,58
"all;g4run;libG4geometry;G4PolyconeSide::PointOnCone@plt",5580833,1561525,20577,918706,1220,61
"all;g4run;libG4geometry;atan2@plt",23018492,6506938,83126,4435033,53100,367
"all;g4run;libG4geometry;G4PolyconeSide::DistanceAway@plt",2093252,146582,8005,140188,5004,19
"all;g4run;libG4geometry;G4Trap::Inside",399777120,79491413,1030451,46593697,648513,6083
"all;g4run;libG4geometry;G4Region::GetRegionalSteppingAction",2233446997,536099359,6822454,348526472,4148305,35357
"all;g4run;libG4geometry;G4ChordFinder::ApproxCurvePointV@plt",698433,196494,0,0,0,21
"all;g4run;libG4geometry;G4PropagatorInField::RefreshIntersectionLocator",173783329,48894605,423450,30427685,265631,2660
"all;g4run;libG4geometry;G4Navigator::LocateGlobalPointWithinVolume",3934829364,942591419,9743029,600855341,6156845,64403
"all;g4run;libG4geometry;G4Navigator::GetMotherToDaughterTransform",30004203,7769862,86674,5073886,52099,343
"all;g4run;libG4geometry;G4ReflectedSolid::DistanceToOut",34863531,6813949,80517,4562094,63954,537
"all;g4run;libG4geometry;G4Navigator::GetGlobalExitNormal",92800232,25173023,259543,15430951,145331,1931
"all;g4run;libG4geometry;G4NavigationLevel::operator=",4383188047,1041305018,12592969,657791890,7426824,66480
"all;g4run;libG4geometry;G4Tubs::DistanceToIn",258147989,67735199,898158,41234034,553948,4531
"all;g4run;libG4geometry;G4Mag_EqRhs::G4Mag_EqRhs",0,0,0,0,1159,0
"all;g4run;libG4geometry;G4MagErrorStepper::Stepper",0,175808,2124,0,0,0
"all;g4run;libG4geometry;G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::GetEquationOfMotion",541619330,142663969,1395345,98901876,840759,8971
"all;g4run;libG4geometry;G4FieldManagerStore::ClearAllChordFindersState",838827322,209407741,1882770,140504031,1215091,13273
"all;g4run;libG4geometry;pow@plt",2093563,291263,1117,600390,662,39
"all;g4run;libG4geometry;G4VPhysicalVolume::GetRotation",744385895,176982124,2752818,115769843,1668767,12747
"all;g4run;libG4geometry;G4VIntersectionLocator::GetLastSurfaceNormal@plt",0,0,0,305871,1441,21
"all;g4run;libG4geometry;G4IntersectionSolid::DistanceToIn",1396680,2269463,13774,647838,2830,115
"all;g4run;libG4geometry;G4PolyhedraSide::DistanceToOneSide",9149828397,2695819211,29651549,1716011760,19021805,141304
"all;g4run;libG4geometry;G4DisplacedSolid::DistanceToOut",62086893,25299889,236513,13638441,142921,1351
"all;g4run;libG4geometry;G4PolyPhiFace::Intersect",1033922926,307901153,4435208,210216943,2995653,17589
"all;g4run;libG4geometry;G4Navigator::SetSavedState@plt",1394052,500425,12636,541971,8778,40
"all;g4run;libG4geometry;G4LogicalVolume::GetSolid",2224437476,510722848,6162324,338163251,3811165,36569
"all;g4run;libG4geometry;G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord",1519610193,418879103,4024109,280063178,2650548,24888
"all;g4run;libG4geometry;G4CutTubs::DistanceToOut",698489,144343,2505,367376,2860,38
"all;g4run;libG4geometry;G4CutTubs::Inside",15356139,4127184,42087,1593950,26490,137
"all;g4run;libG4geometry;G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::DoesReIntegrate",16729278,3780371,55652,3812101,33412,393
"all;g4run;libG4geometry;G4PropagatorInField::ComputeStep",4728394563,1209973704,11890550,748397562,7678921,71534
"all;g4run;libG4geometry;G4Navigator::RestoreSavedState@plt",1396865,317359,9529,312013,2272,20
"all;g4run;libG4geometry;G4FieldTrack::operator=",23714731,6084342,83509,4902911,42352,314
"all;g4run;libG4geometry;G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OnStartTracking",324572956,84105010,760641,51043174,445565,5071
"all;g4run;libG4geometry;G4Torus::TorusRootsJT",2094251,0,5193,182014,3159,0
"all;g4run;libG4geometry;G4VPhysicalVolume::GetTranslation",1784019522,447002806,5993870,281785994,3313114,31349
"all;g4run;libG4geometry;G4NavigationHistoryPool::GetInstance@plt",10468890,2824526,26448,1187437,11451,174
"all;g4run;libG4geometry;G4MultiLevelLocator::EstimateIntersectionPoint",613565710,149417508,1499824,92650508,963871,9596
"all;g4run;libG4geometry;G4NavigationHistory::G4NavigationHistory",1101884073,269978988,3546078,179639544,2205707,17347
"all;g4run;libG4geometry;G4PolyPhiFace::InsideEdgesExact@plt",0,0,0,0,1595,0
"all;g4run;libG4geometry;G4IntersectionSolid::SurfaceNormal",36287400,10685600,103618,7534719,48552,459
"all;g4run;libG4geometry;G4FieldTrack::LoadFromArray",1108847170,261969113,3421302,169722320,2151710,16859
"all;g4run;libG4geometry;G4PolyconeSide::Inside",3481476708,787376294,10034712,495577243,6007942,55409
"all;g4run;libG4geometry;G4PolyhedraSide::GetPhi",6557481158,1844618164,22149509,1181160512,13743029,103064
"all;g4run;libG4geometry;G4PolyhedraSide::Intersect",5004139481,1515060509,22125786,1003444650,13536003,84590
"all;g4run;libG4geometry;G4PolyPhiFace::Inside",2706369992,799427130,9010795,514205331,5610714,41343
"all;g4run;libG4geometry;G4UnionSolid::DistanceToIn",2786439,1546405,8071,1033950,2956,59
"all;g4run;libG4geometry;G4VCSGfaceted::SurfaceNormal",489772873,125955905,2260770,78680648,1450986,7951
