id,cycles,instructions,ic_fetch_stall_ic_stall_any,ic_fetch_stall_ic_stall_dq_empty,ic_fetch_stall_ic_stall_back_pressure,ic_cache_fill_sys
"all;g4run;libG4global;G4JTPolynomialSolver::FindRoots",698544,3219271,1888115,113354,853255,93375
"all;g4run;libG4global;G4ThreadLocalSingleton<G4GeometryTolerance>::G4ThreadLocalSingleton",41865892,73337279,25175069,1259155,8714784,1134882
"all;g4run;libG4global;G4JTPolynomialSolver::RealPolynomialIteration",0,0,0,0,0,5598
"all;g4run;libG4global;G4ProfilerConfig<1ul>::GetPersistent<1>",110256722,137793761,54409838,2551241,25409703,1107159
"all;g4run;libG4global;G4Physics2DVector::BicubicInterpolation",807334902,989030039,406932632,15308854,109499697,8248585
"all;g4run;g4run",,,,,,
"all;g4run;g4run;CMSMagneticField::GetFieldValue",7670759071,11535098859,3944647112,126596882,1386181936,28694289
"all;g4run;g4run;ffunkti",70457102,152548434,43069711,433798,40961926,90835
"all;g4run;g4run;CLHEP::MixMaxRng::flat",698242,4188387,1845926,31869,151241,58868
"all;g4run;libG4event",,,,,,
"all;g4run;libG4event;0x0000000000068db1",8371276,9179431,4383885,126684,391488,48980
"all;g4run;libG4event;0x0000000000069d4a",694867,0,733458,29023,0,11925
"all;g4run;libG4event;0x0000000000068e48",5580564,4018707,1445109,72864,558859,25877
"all;g4run;libG4event;0x0000000000068e49",698256,0,0,0,0,0
"all;g4run;libG4event;0x0000000000069d4c",0,992122,735875,39342,0,4527
"all;g4run;libG4event;0x0000000000069d4d",2091404,2976408,1835908,171260,601304,73795
"all;g4run;libG4event;0x0000000000068db6",25112164,32968508,6592192,425473,3973534,332247
"all;g4run;libG4event;0x0000000000068db8",13259802,27520916,12045917,138203,3942697,85330
"all;g4run;libG4event;0x0000000000068d2b",698449,1014862,0,0,533300,30818
"all;g4run;libG4event;0x000000000006a4ab",698861,0,0,0,0,9732
"all;g4run;libG4event;0x0000000000069d6b",1396549,1949247,732230,45040,562223,32383
"all;g4run;libG4event;0x0000000000068eab",5579337,10272480,1082327,44645,1080013,92638
"all;g4run;libG4event;0x0000000000068d2f",4884464,7155755,1467682,0,516705,29192
"all;g4run;libG4event;0x0000000000069d6f",12556285,13006428,7687282,299212,1809649,274509
"all;g4run;libG4event;0x0000000000069d8a",0,0,0,0,0,5907
"all;g4run;libG4event;0x0000000000069d53",3485673,5141829,1851544,65845,730517,53153
"all;g4run;libG4event;0x000000000006a4b0",119320137,129321914,55992219,2265823,19932515,2302972
"all;g4run;libG4event;0x0000000000069d73",118634568,167744959,59038203,2522517,21727626,2155075
"all;g4run;libG4event;std::vector<G4SingleParticleSource::part_prop_t*, std::allocator<G4SingleParticleSource::part_prop_t*> >::_M_fill_insert",166059434,246332987,83652291,3420811,35822977,3035300
"all;g4run;libG4event;0x000000000006a40d",1395006,1951790,366253,29792,125715,3404
"all;g4run;libG4event;0x000000000006a4b4",2793350,0,398697,12829,281821,7529
"all;g4run;libG4event;0x0000000000069d75",698442,989155,366527,16136,115684,22739
"all;g4run;libG4event;0x0000000000068e2c",223980017,417459802,128112775,1595033,67430748,1965205
"all;g4run;libG4event;0x0000000000068d70",120710057,115443708,48758484,2153574,19194383,2244899
"all;g4run;libG4event;0x0000000000068d71",32803840,34739331,15244834,400861,5578478,361771
"all;g4run;libG4event;0x0000000000068d78",10467270,30876400,8430633,238903,2703511,109401
"all;g4run;libG4event;0x000000000006a413",0,0,0,0,0,3530
"all;g4run;libG4event;0x0000000000068d79",1396616,1987799,0,0,0,8432
"all;g4run;libG4event;0x0000000000069da5",1396849,1113148,0,16937,256985,7194
"all;g4run;libG4event;0x0000000000068e30",1396570,2133872,1462517,38543,726374,29337
"all;g4run;libG4event;0x0000000000068e34",0,0,0,0,0,4627
"all;g4run;libG4event;G4GeneralParticleSource::ListSource",774746652,1161012519,399062662,11193851,188695193,9365915
"all;g4run;libG4event;G4GeneralParticleSourceMessenger::GetInstance",5579925,0,768733,240545,1102610,82837
"all;g4run;libG4event;0x0000000000069d5a",10455671,8094065,6262591,280231,1449624,231606
"all;g4run;libG4event;G4AdjointStackingAction::ClassifyNewTrack",0,0,367312,0,0,4584
"all;g4run;libG4event;G4GeneralParticleSourceData::~G4GeneralParticleSourceData",386490512,690681351,214347725,3641243,92318178,3932344
"all;g4run;libG4event;0x000000000006a495",9765766,12009524,1446567,464329,1702409,297971
"all;g4run;libG4event;0x0000000000069d7e",5583067,5915661,1104943,64120,1261262,116112
"all;g4run;libG4event;0x0000000000069d40",13950056,29776963,9466141,419427,2540671,637928
"all;g4run;libG4event;0x0000000000069d41",7677813,7946089,4762029,111544,1892418,94186
"all;g4run;libG4event;0x000000000006a499",115154086,128063908,46009532,2074480,14326143,2359988
"all;g4run;libG4event;0x0000000000069d44",6283860,7110009,2904475,164258,1419625,220230
"all;g4run;libG4event;0x0000000000069d46",1396855,4695528,704554,84119,779926,72923
"all;g4run;libG4event;0x0000000000068d20",210804966,360885865,119579659,1685339,52456855,1648717
"all;g4run;libG4event;0x0000000000069d48",0,1952542,733034,16382,164779,49776
"all;g4run;libG4event;0x0000000000068ea0",0,4530794,0,0,0,3414
"all;g4run;libG4event;0x0000000000069d9f",1396249,1020333,727104,47999,94976,35766
"all;g4run;libG4event;0x0000000000069d63",0,977515,0,0,0,11469
"all;g4run;libG4event;0x0000000000068d24",95577296,134362468,46558778,367388,24765394,698296
"all;g4run;libG4event;0x0000000000068ea2",13954847,19680089,6619685,309672,1183743,459933
"all;g4run;libG4event;0x0000000000068d7d",13957443,15310460,4744970,81921,1675403,109602
"all;g4run;libG4event;0x0000000000069d67",0,0,0,13973,0,5114
"all;g4run;libG4event;0x0000000000068d28",242827498,369072893,122485062,1433264,54945487,1405484
"all;g4run;libG4event;0x000000000006a4a7",336713414,444344065,185765761,9146450,63138675,7832509
"all;g4run;libG4event;0x0000000000068ea6",6277373,20089692,6513077,194973,1759107,203367
"all;g4run;libG4event;0x000000000006a41a",0,0,0,25276,0,3070
"all;g4run;libG4event;0x0000000000068ea9",698244,4738941,732099,50966,161916,25439
