instructions,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,comm,dso,symbol
7226715242,4088439493,142234203,28010289,"g4run","libG4processes.so","G4UrbanMscModel::SampleDisplacement"
7138197215,5206872486,97190102,8247747,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AccurateAdvance"
7099712113,3730767278,105669997,68078241,"g4run","libG4processes.so","G4NumIntTwoBodyAngDst<11, 19>::GetCosTheta"
7091609582,4149270806,72370079,57870942,"g4run","libG4processes.so","G4NucleiModel::generateParticleFate"
7080825593,4308981587,56892625,7591743,"g4run","libG4geometry.so","G4VCSGfaceted::SurfaceNormal"
7026255431,4560470320,336939500,49736033,"g4run","libG4processes.so","G4SeltzerBergerModel::SampleSecondaries"
6930088644,3263232784,140611119,16760422,"g4run","libG4processes.so","G4HadronNucleonXsc::HadronNucleonXscNS"
6912938801,4946341475,589114632,60707200,"g4run","libG4geometry.so","G4FieldTrack::G4FieldTrack"
6858881841,4043692803,252314902,10750473,"g4run","libG4processes.so","G4PhysicsVector::GetBin"
6842642871,4151470461,317189559,18376150,"g4run","libG4geometry.so","G4NavigationHistory::NewLevel"
6820581414,3975439911,364177834,31807315,"g4run","libG4geometry.so","G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OnStartTracking"
6808590233,4325619134,362549997,19985313,"g4run","libG4geometry.so","G4PVPlacement::GetCopyNo"
6740106468,3373020336,134143126,10245711,"g4run","libm.so.6","exp@@GLIBC_2.29"
6728039528,3866296135,380336506,10350806,"g4run","libG4geometry.so","G4Box::DistanceToIn"
6654914164,4071890094,77066683,43625902,"g4run","libG4particles.so","G4DynamicParticle::operator="
6640025534,4500246020,465557587,50669222,"g4run","libG4processes.so","G4UrbanMscModel::SimpleScattering"
6637643610,3954586986,74664160,75185037,"g4run","libm.so.6","__ieee754_acos_fma"
6636909443,4002134603,327795628,7954904,"g4run","libG4processes.so","G4Decay::GetMeanFreePath"
6627586297,4276570162,426295325,12468161,"g4run","libG4geometry.so","G4Tubs::DistanceToIn"
6617357053,4041133710,476942281,23823535,"g4run","libG4processes.so","G4VEmProcess::ComputeIntegralLambda"
6599800823,7334700458,431948270,10732036,"g4run","libG4geometry.so","field_utils::absoluteError"
6572157742,4248184580,441209741,16714889,"g4run","libG4geometry.so","G4Trap::DistanceToOut"
6561872527,4092338579,145228858,10205682,"g4run","libG4geometry.so","G4IntersectingCone::HitOn"
6481601494,3919272616,24901663,21143083,"g4run","libG4processes.so","G4NucleiModel::passFermi"
6426380230,4195273468,426994058,56919952,"g4run","libG4event.so","G4EventManager::StackTracks"
