comm,dso,symbol,cycles,instructions,branches,branch_misses
"g4run","libpythia8.so","std::vector<Pythia8::TimeDipoleEnd, std::allocator<Pythia8::TimeDipoleEnd> >::emplace_back<Pythia8::TimeDipoleEnd>",938900,0,0,0
"g4run","libtasn1.so.6.6.2","0x000000000000a9c8",930185,0,0,0
"g4run","libstdc++.so.6.0.30","0x00000000000a03f4",924982,0,0,0
"g4run","libG4intercoms.so","G4UIcommandTree::AddNewCommand",923937,1680899,53928,0
"g4run","libG4geometry.so","G4TransportationManager::GetTransportationManager",916534,0,0,0
"g4run","libc.so.6","0x00000000000285f4",916332,0,0,0
"g4run","libG4processes.so","G4HadronicProcessStore::RegisterParticleForExtraProcess",913052,0,0,0
"g4run","libG4persistency.so","G4GDMLReadMaterials::MixtureRead",911960,2071248,482014,3421
"g4run","libG4processes.so","G4VEmModel::MinEnergyCut",906958,0,569238,0
"g4run","libG4processes.so","std::map<G4String, G4String, std::less<G4String>, std::allocator<std::pair<G4String const, G4String> > >::operator[]",905970,2011849,0,0
"g4run","libG4processes.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >",904142,0,0,0
"g4run","libpythia8.so","Pythia8::PartonSystems::replace",903796,0,0,0
"g4run","libG4processes.so","G4eCoulombScatteringModel::MinPrimaryEnergy",902671,4360229,510966,4295
"g4run","libG4geometry.so","0x000000000009f9d0",896244,0,0,0
"g4run","libG4processes.so","G4XNNstarTable::CrossSectionTable",892344,0,0,3528
"g4run","libG4processes.so","G4VEnergyLossProcess::PreparePhysicsTable",887120,0,0,0
"g4run","libpythia8.so","Pythia8::HadronLevel::decayOctetOnia",885728,1970133,0,0
"g4run","libG4processes.so","G4ProcessVector::index",883231,5983601,1052931,11588
"g4run","libc.so.6","_IO_new_file_init_internal",873000,0,0,0
"g4run","libpythia8.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",869825,0,0,0
"g4run","libpythia8.so","Pythia8::MultipartonInteractions::overlapInit",868308,2571563,227038,5015
"g4run","libG4run.so","G4PhysicsListHelper::CheckParticleList",867667,0,0,3085
"g4run","libG4processes.so","0x00000000003b2b30",866605,0,0,0
"g4run","libpythia8.so","Pythia8::Settings::attributeValue",865956,3596904,1095376,4325
"g4run","libpythia8.so","Pythia8::ParticleDecays::decayAll",865389,1338316,0,4777
"g4run","libpythia8.so","Pythia8::StringFragmentation::fragmentToJunction",862978,0,144881,7378
"g4run","libG4processes.so","G4NuclearLevelData::GetPairingCorrection",861998,0,0,0
"g4run","libG4persistency.so","G4GDMLReadSolids::CutTubeRead",856434,0,0,2041
"g4run","libG4physicslists.so","G4StoppingPhysics::ConstructProcess",848842,1635627,362725,7031
"g4run","libstdc++.so.6.0.30","0x000000000012fa35",844800,4795300,676381,0
"g4run","libG4processes.so","G4CascadeChannelTables::G4CascadeChannelTables",842763,0,0,0
"g4run","libG4run.so","0x0000000000031470",841722,0,0,0
"g4run","libG4intercoms.so","G4UIcommandTree::RemoveCommand",838156,0,294298,3088
"g4run","libc.so.6","_IO_un_link",836140,0,0,0
"g4run","libG4processes.so","0x00000000003c5ad4",834433,0,0,3726
"g4run","libG4processes.so","G4XNDeltastarTable::CrossSectionTable",833542,1133711,0,0
"g4run","libG4processes.so","std::_Rb_tree<int, std::pair<int const, G4Mag_EqRhs*>, std::_Select1st<std::pair<int const, G4Mag_EqRhs*> >, std::less<int>, std::allocator<std::pair<int const, G4Mag_EqRhs*> > >::_M_get_insert_unique_pos",832926,0,0,0
"g4run","libG4run.so","G4VUserPhysicsList::BuildPhysicsTable",831488,0,0,4666
"g4run","libG4processes.so","G4hIonisation::InitialiseEnergyLossProcess",830855,0,0,1397
"g4run","libxerces-c-3.2.so","xercesc_3_2::RegularExpression::compile",829404,0,0,0
"g4run","libG4processes.so","0x00000000003c6ce0",827918,0,0,0
"g4run","libG4global.so","G4UnitDefinition::G4UnitDefinition",824210,0,0,0
"g4run","libpythia8.so","Pythia8::StringZ::zFrag",820971,0,0,2062
"g4run","libstdc++.so.6.0.30","0x00000000000a05d0",817119,0,242058,3578
"g4run","libpythia8.so","std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, Pythia8::HadronWidths::ResonanceDecayChannel>, std::_Select1st<std::pair<std::pair<int, int> const, Pythia8::HadronWidths::ResonanceDecayChannel> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, Pythia8::HadronWidths::ResonanceDecayChannel> > >::_M_emplace_unique<std::pair<int, int>&, Pythia8::HadronWidths::ResonanceDecayChannel>",809573,0,0,0
"g4run","libpythia8.so","Pythia8::ParticleDataEntry::resOpenFrac",802873,0,206890,0
"g4run","libG4intercoms.so","G4UImanager::GetUIpointer",798413,0,0,0
"g4run","libG4run.so","G4PhysicsListWorkspace::DestroyWorkspace",789692,0,0,0
"g4run","libG4run.so","G4VPCData::initialize",786441,0,0,0
"g4run","libstdc++.so.6.0.30","std::basic_filebuf<char, std::char_traits<char> >::underflow",785131,1434513,878896,6215
"g4run","libG4global.so","G4coutDestination::ReceiveG4cout_",782442,0,437626,2993
"g4run","libstdc++.so.6.0.30","0x00000000000a1860",781701,1572647,0,0
"g4run","libpythia8.so","std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, double>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, double> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, double> > >::find",780207,2526219,0,5570
"g4run","libpythia8.so","Pythia8::Settings::doubleAttributeValue",776012,1325981,256895,1473
"g4run","ld-linux-x86-64.so.2","_dl_check_map_versions",774958,0,0,0
"g4run","libG4processes.so","G4Na22GEMProbability::G4Na22GEMProbability",774865,0,0,0
"g4run","libG4processes.so","G4HadronicDeveloperParameters::get",770137,0,160401,3480
"g4run","libG4run.so","std::thread::_State::~_State@plt",769856,0,0,0
"g4run","libG4particles.so","G4PrimaryParticle::G4PrimaryParticle",769637,0,414869,0
"g4run","libG4particles.so","G4DecayTable::~G4DecayTable",767585,0,156689,1781
"g4run","libstdc++.so.6.0.30","0x000000000009e490",767331,1538050,315281,0
"g4run","libG4processes.so","G4ModifiedMephi::SamplePairDirections",764507,0,0,0
"g4run","libG4processes.so","0x00000000003d3734",763554,0,0,2957
"g4run","libG4processes.so","0x00000000003b1dc0",760252,0,0,0
"g4run","libG4particles.so","0x0000000000035e24",759785,0,0,0
"g4run","libG4processes.so","0x00000000003acd54",759247,0,0,0
"g4run","libG4processes.so","0x00000000003adf44",758838,0,0,0
"g4run","libG4processes.so","0x00000000003cb310",756796,0,0,2230
"g4run","libG4processes.so","0x00000000003c3e20",753344,0,0,0
"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroPChannelData, G4KaonSampler>::getMultiplicity",753227,2518291,0,0
"g4run","libG4processes.so","G4CascadeFunctions<G4CascadeKzeroBarNChannelData, G4KaonSampler>::getOutgoingParticleTypes",751816,0,148310,1429
"g4run","libc.so.6","hack_digit",749614,1179001,772424,2301
"g4run","libpythia8.so","Pythia8::PhaseSpace::trialKin123",748381,3362458,0,1253
"g4run","libpythia8.so","Pythia8::attributeValue",748376,0,172801,2457
"g4run","libpythia8.so","0x00000000001b51f4",747435,1749233,0,0
"g4run","libpythia8.so","0x00000000001ad810",746979,1666505,0,0
"g4run","libG4processes.so","0x00000000003cfe44",737405,0,0,0
"g4run","libpythia8.so","Pythia8::ParticleData::initWidths",736520,1328965,544483,11679
"g4run","libc.so.6","__strtod_l",735341,11135439,849899,2638
"g4run","libpythia8.so","Pythia8::Settings::boolVectorAttributeValue",734234,0,0,1535
"g4run","libpythia8.so","Pythia8::PhaseSpace::limitY",733415,0,0,0
"g4run","libstdc++.so.6.0.30","0x0000000000126fe0",732485,3938434,0,0
"g4run","libpythia8.so","Pythia8::SusyLesHouches::SusyLesHouches",731437,0,0,2383
"g4run","libG4geometry.so","G4LogicalVolume::AssignFieldManager",730787,1818729,1331171,8036
"g4run","libpythia8.so","Pythia8::ProcessLevel::init",730417,0,0,0
"g4run","libpythia8.so","std::vector<bool, std::allocator<bool> >::vector",730306,1625597,0,0
"g4run","libstdc++.so.6.0.30","std::__cxx11::basic_istringstream<char, std::char_traits<char>, std::allocator<char> >::~basic_istringstream",729762,0,0,0
"g4run","libpythia8.so","0x00000000001b4c10",728706,7472361,299703,2393
"g4run","libpythia8.so","Pythia8::Settings::boolAttributeValue",728683,859382,0,0
"g4run","libpythia8.so","Pythia8::StringEnd::newHadron",727521,2668681,145186,24838
"g4run","libpythia8.so","Pythia8::MultipartonInteractions::MPIInterpolationInfo::init",726431,0,0,0
"g4run","libpythia8.so","std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",725485,0,0,0
"g4run","libG4global.so","G4Threading::IsMasterThread",724398,4810660,466428,1201
"g4run","libc.so.6","__mpn_cmp",722925,1610268,414420,1193
"g4run","libpythia8.so","Pythia8::PhaseSpace::selectTau",722856,3494598,742060,0
"g4run","libstdc++.so.6.0.30","0x000000000009f7c0",722322,0,0,2132
"g4run","libstdc++.so.6.0.30","0x000000000009f8d0",721791,0,0,0
"g4run","libpythia8.so","0x00000000001abd24",721773,0,0,0
"g4run","libstdc++.so.6.0.30","0x00000000000a1244",718677,1519343,0,0
"g4run","libpythia8.so","Pythia8::LinearInterpolator::operator()",717424,0,0,5880
"g4run","libpythia8.so","Pythia8::Sigma2ff2fftW::sigmaKin",717306,0,0,0
"g4run","libstdc++.so.6.0.30","0x00000000000a0dc0",717186,0,0,0
"g4run","libpythia8.so","Pythia8::Pythia::Pythia",717155,0,0,945
"g4run","libstdc++.so.6.0.30","0x00000000000c237b",716694,2527929,390603,5979
"g4run","libpythia8.so","0x00000000001b2df4",716214,0,0,912
"g4run","libpythia8.so","Pythia8::Settings::getParmMap",714677,0,0,0
"g4run","libG4intercoms.so","G4strstreambuf::overflow",713967,0,497361,0
"g4run","libpythia8.so","Pythia8::Sigma2Process::store2Kin",713930,1702632,323217,2667
"g4run","libstdc++.so.6.0.30","0x00000000000a0590",713837,0,0,0
"g4run","libpythia8.so","Pythia8::HeavyIons::setupSpecials",713260,0,0,0
"g4run","libpythia8.so","Pythia8::SigmaOniaSetup::setupSigma2qg",713150,0,0,0
"g4run","libG4particles.so","G4ParticleTable::contains",712920,870288,0,5468
"g4run","libstdc++.so.6.0.30","0x000000000012fa37",712662,1747033,0,0
"g4run","libstdc++.so.6.0.30","0x0000000000103308",712655,0,447981,806
"g4run","libpythia8.so","0x00000000001ae6c4",712590,1316589,0,4151
"g4run","libstdc++.so.6.0.30","0x000000000012b16f",711287,5838871,1228658,2849
"g4run","libstdc++.so.6.0.30","0x00000000001032e0",711252,6798950,1619474,9580
"g4run","libstdc++.so.6.0.30","0x00000000000a1280",710969,0,0,851
"g4run","libstdc++.so.6.0.30","0x000000000012b15d",710940,5715997,368033,0
"g4run","libG4processes.so","0x00000000003baa60",710301,0,275543,0
"g4run","libstdc++.so.6.0.30","std::string::_Rep::_M_destroy",710133,0,664976,0
"g4run","libG4processes.so","0x00000000003d2530",710115,0,0,0
"g4run","libpythia8.so","Pythia8::Sigma2qg2QQbarX8q::namePostfix[abi:cxx11]",709668,0,0,0
"g4run","libstdc++.so.6.0.30","0x00000000000a2290",709564,2229882,0,0
"g4run","libG4processes.so","G4LundStringFragmentation::DiQuarkSplitup",709462,1113969,0,9318
"g4run","libG4processes.so","G4ExcitedString::GetRightParton",709461,0,158735,17311
"g4run","libpythia8.so","0x00000000001b2df0",709426,0,684044,524
"g4run","libpythia8.so","Pythia8::SigmaOniaSetup::setupSigma2gg",709382,0,0,0
"g4run","libpythia8.so","Pythia8::SigmaProcess::SigmaProcess",709172,1673870,0,0
"g4run","libG4clhep.so","CLHEP::HepLorentzVector::beta",709038,0,0,2445
"g4run","libpythia8.so","Pythia8::Settings::fvec",708962,1616088,0,1483
"g4run","libG4processes.so","G4XNNElasticLowE::IsValid",707802,0,0,0
"g4run","libpythia8.so","std::operator+<char, std::char_traits<char>, std::allocator<char> >",707346,0,0,0
